Time,Seed,Model,Value
0,1,control,-0.01661902035958979
3,1,control,-0.02100136324325601
6,1,control,8.9071726179423e-4
9,1,control,-0.01599188321486096
12,1,control,-0.01361814703958477
15,1,control,-0.01333547425552928
18,1,control,-0.01123650510219078
21,1,control,-0.0017754839648958
24,1,control,-0.0172108930665557
27,1,control,-0.0170890113507065
30,1,control,-0.03177171234407131
33,1,control,6.9159874305162e-4
36,1,control,-0.01057052078548714
39,1,control,-0.01606102351219661
42,1,control,-0.00704431492281442
45,1,control,-0.01903412354514342
48,1,control,-0.02304745294977408
0,10,control,0.02411631066089088
3,10,control,0.03463037885632385
6,10,control,0.03542422741404314
9,10,control,0.03405036364251258
12,10,control,0.03325673992859918
15,10,control,0.02719720145474647
18,10,control,0.03208995016317603
21,10,control,0.03110384138435097
24,10,control,0.03856620425283745
27,10,control,0.03129856446073652
30,10,control,0.04351888062496182
33,10,control,0.02487927630921924
36,10,control,0.03679599678280569
39,10,control,0.04318995518085219
42,10,control,0.05107525674880302
45,10,control,0.04004857793610975
48,10,control,0.04412152444578153
0,100,control,-9.4744636153622e-4
3,100,control,-0.00527368392050553
6,100,control,-0.01583167081196546
9,100,control,-0.02194511697998442
12,100,control,-9.4073211848186e-4
15,100,control,-0.01028841930064609
18,100,control,-0.01173044986788556
21,100,control,0.00793455410650445
24,100,control,-0.01779806558479
27,100,control,-0.0079176583079765
30,100,control,-0.00603873216168941
33,100,control,-0.01503223468421232
36,100,control,-0.01272930725023734
39,100,control,-0.02433267643434552
42,100,control,-0.00220648002380414
45,100,control,-0.00288692078106808
48,100,control,-0.01745583427748215
0,101,control,-0.02031013189465336
3,101,control,-0.02982381324289012
6,101,control,-0.04340543724199605
9,101,control,-0.03459267747885222
12,101,control,-0.0485510282124941
15,101,control,-0.02585309554384213
18,101,control,-0.03015221396530344
21,101,control,-0.01093349569746305
24,101,control,-0.03081031588895776
27,101,control,-0.01794407598827314
30,101,control,-0.01413753591945901
33,101,control,-0.030850237959833
36,101,control,-0.03164142157428474
39,101,control,-0.03633746477566922
42,101,control,-0.01045335338908712
45,101,control,-0.02553551778494214
48,101,control,-0.01095719218564768
0,102,control,-0.00904008999520279
3,102,control,0.00665667781949824
6,102,control,0.0126443283434094
9,102,control,0.02312510842536744
12,102,control,0.01319418770911191
15,102,control,0.00128873247301054
18,102,control,-0.00820962242420411
21,102,control,0.03724269587486064
24,102,control,0.00343563822259916
27,102,control,0.0154339203268774
30,102,control,0.01010512435946165
33,102,control,0.01468425057563005
36,102,control,0.00180802131515195
39,102,control,0.01677319785836097
42,102,control,0.03231690167442522
45,102,control,0.0132603412342116
48,102,control,0.00965666903235774
0,103,control,0.03844645596423268
3,103,control,0.03916458578676768
6,103,control,0.0249204761416709
9,103,control,0.01829782993939129
12,103,control,0.023019100254277
15,103,control,0.01613181001853486
18,103,control,0.04754223740219863
21,103,control,0.01962970373072576
24,103,control,0.0345205796668654
27,103,control,0.02194685845802354
30,103,control,0.05044243439269413
33,103,control,0.02854426971784558
36,103,control,0.01376437157796618
39,103,control,0.03115556861930247
42,103,control,0.04131056829944498
45,103,control,0.03099849177874109
48,103,control,0.02597746099178943
0,104,control,-0.02156720612634859
3,104,control,-0.02605724562710657
6,104,control,-0.00133673582946826
9,104,control,-0.01935500967700846
12,104,control,0.00571677556162281
15,104,control,0.00571417276741044
18,104,control,0.00177179075237858
21,104,control,-0.0056089001293419
24,104,control,0.00603700739350205
27,104,control,-0.00365728816768432
30,104,control,-0.01879285548703877
33,104,control,-0.00521202328284462
36,104,control,-0.01820393499186592
39,104,control,-0.0222269032850465
42,104,control,-0.00853358941871345
45,104,control,-0.01217758029845919
48,104,control,0.0073279864678978
0,105,control,-0.00806531681570775
3,105,control,-0.02892483626241124
6,105,control,-0.03796760399470884
9,105,control,-0.04191715514830723
12,105,control,-0.03816678026575919
15,105,control,-0.02702021703985191
18,105,control,-0.00311414653899079
21,105,control,-0.03277019453270131
24,105,control,-0.0148130826170071
27,105,control,-0.02723482677101481
30,105,control,0.00331877204248773
33,105,control,-0.02980130129967249
36,105,control,-0.02493106913121677
39,105,control,-0.02521500678606598
