Time,Seed,Model,Value
0,1,control,0.015538
3,1,control,0.015594
6,1,control,0.0156255
9,1,control,0.0155275
12,1,control,0.015513
15,1,control,0.0155835
18,1,control,0.015649
21,1,control,0.0155805
24,1,control,0.0155945
27,1,control,0.0155905
30,1,control,0.0156245
33,1,control,0.015586
36,1,control,0.015523
39,1,control,0.015542
42,1,control,0.015569
45,1,control,0.0155765
48,1,control,0.0155565
0,10,control,0.0154545
3,10,control,0.0155785
6,10,control,0.015584
9,10,control,0.0155385
12,10,control,0.0154895
15,10,control,0.0154415
18,10,control,0.015524
21,10,control,0.015531
24,10,control,0.0154905
27,10,control,0.015453
30,10,control,0.0155305
33,10,control,0.0154895
36,10,control,0.015472
39,10,control,0.0154485
42,10,control,0.015502
45,10,control,0.015476
48,10,control,0.0154965
0,100,control,0.015428
3,100,control,0.015488
6,100,control,0.0154465
9,100,control,0.0154645
12,100,control,0.01548
15,100,control,0.015432
18,100,control,0.01544
21,100,control,0.0154465
24,100,control,0.015402
27,100,control,0.0154305
30,100,control,0.01545
33,100,control,0.015409
36,100,control,0.015427
39,100,control,0.015504
42,100,control,0.0153605
45,100,control,0.0154265
48,100,control,0.0154395
0,11,control,0.015631
3,11,control,0.015592
6,11,control,0.0156035
9,11,control,0.0155405
12,11,control,0.0155765
15,11,control,0.015561
18,11,control,0.015549
21,11,control,0.0155875
24,11,control,0.0155185
27,11,control,0.015614
30,11,control,0.015495
33,11,control,0.0154975
36,11,control,0.0155
39,11,control,0.015538
42,11,control,0.0155495
45,11,control,0.015556
48,11,control,0.015543
0,12,control,0.015551
3,12,control,0.01555
6,12,control,0.015536
9,12,control,0.0155145
12,12,control,0.015502
15,12,control,0.015494
18,12,control,0.0155065
21,12,control,0.0155055
24,12,control,0.015479
27,12,control,0.015593
30,12,control,0.015605
33,12,control,0.0156215
36,12,control,0.0155705
39,12,control,0.015624
42,12,control,0.015575
45,12,control,0.015566
48,12,control,0.0154935
0,13,control,0.0153375
3,13,control,0.0154155
6,13,control,0.0153035
9,13,control,0.0153715
12,13,control,0.0153395
15,13,control,0.0154245
18,13,control,0.0153785
21,13,control,0.0154535
24,13,control,0.0153555
27,13,control,0.015412
30,13,control,0.0153295
33,13,control,0.015353
36,13,control,0.015369
39,13,control,0.015384
42,13,control,0.015416
45,13,control,0.015367
48,13,control,0.0153405
0,14,control,0.0153105
3,14,control,0.0152945
6,14,control,0.015313
9,14,control,0.015257
12,14,control,0.015245
15,14,control,0.015257
18,14,control,0.0152795
21,14,control,0.0152725
24,14,control,0.015285
27,14,control,0.0153605
30,14,control,0.015221
33,14,control,0.015264
36,14,control,0.015307
39,14,control,0.0152745
42,14,control,0.0152455
45,14,control,0.0153065
48,14,control,0.0152365
0,15,control,0.015426
3,15,control,0.015492
6,15,control,0.0154215
9,15,control,0.015391
12,15,control,0.0153605
15,15,control,0.015476
18,15,control,0.0153815
21,15,control,0.015436
24,15,control,0.015299
27,15,control,0.015419
30,15,control,0.015382
33,15,control,0.0153185
36,15,control,0.0154605
39,15,control,0.015394
42,15,control,0.015408
45,15,control,0.0154085
48,15,control,0.0154115
0,16,control,0.01536
3,16,control,0.0154105
6,16,control,0.015338
9,16,control,0.015418
12,16,control,0.01538
15,16,control,0.0153
18,16,control,0.0152605
21,16,control,0.01536
24,16,control,0.0153725
27,16,control,0.0153355
30,16,control,0.0153485
33,16,control,0.015405
36,16,control,0.0153585
39,16,control,0.015347
42,16,control,0.015323
45,16,control,0.0153105
48,16,control,0.015242
0,17,control,0.015623
3,17,control,0.0155095
6,17,control,0.01556
9,17,control,0.015464
12,17,control,0.015507
15,17,control,0.015536
18,17,control,0.015536
21,17,control,0.015455
24,17,control,0.015484
27,17,control,0.0155045
30,17,control,0.01551
33,17,control,0.0155155
36,17,control,0.0154875
39,17,control,0.015531
42,17,control,0.0155075
45,17,control,0.0154385
48,17,control,0.0154575
0,18,control,0.0156535
3,18,control,0.015611
6,18,control,0.0156565
9,18,control,0.0156505
12,18,control,0.015593
15,18,control,0.015661
18,18,control,0.0156975
21,18,control,0.0156915
24,18,control,0.0156645
27,18,control,0.015746
30,18,control,0.015704
33,18,control,0.015731
36,18,control,0.0156715
39,18,control,0.0156875
42,18,control,0.01564
45,18,control,0.015615
48,18,control,0.0157375
0,19,control,0.0155205
3,19,control,0.015509
6,19,control,0.0154915
9,19,control,0.0155945
12,19,control,0.01553
15,19,control,0.015467
18,19,control,0.0154325
21,19,control,0.0156335
24,19,control,0.015607
27,19,control,0.0155215
30,19,control,0.0155445
33,19,control,0.0155295
36,19,control,0.0155865
39,19,control,0.0155735
42,19,control,0.015561
45,19,control,0.0155425
48,19,control,0.015516
0,2,control,0.015525
3,2,control,0.0154555
6,2,control,0.015521
9,2,control,0.0155015
12,2,control,0.0155225
15,2,control,0.015615
18,2,control,0.015534
21,2,control,0.0155405
24,2,control,0.015553
27,2,control,0.0155725
30,2,control,0.01551
33,2,control,0.015539
36,2,control,0.0155425
39,2,control,0.0155555
42,2,control,0.015576
45,2,control,0.0154615
48,2,control,0.0154905
0,20,control,0.015384
3,20,control,0.0154095
6,20,control,0.015371
9,20,control,0.0154135
12,20,control,0.0153335
