Time,Seed,Model,Value
0,1,control,0.00180916232323222
3,1,control,0.00180290282828273
6,1,control,0.00179985393939384
9,1,control,0.00180519111111101
12,1,control,0.00180493090909081
15,1,control,0.00180918757575748
18,1,control,0.00180292222222212
21,1,control,0.00180370515151504
24,1,control,0.00180586343434334
27,1,control,0.00180560505050496
30,1,control,0.00180519494949486
33,1,control,0.00180257131313121
36,1,control,0.00180508656565646
39,1,control,0.00180008606060596
42,1,control,0.00179953717171707
45,1,control,0.00180537878787869
48,1,control,0.00180445787878778
0,10,control,0.00269335838383866
3,10,control,0.00268066585858613
6,10,control,0.00267453505050531
9,10,control,0.00267955525252549
12,10,control,0.00268359919191945
15,10,control,0.00268249363636391
18,10,control,0.00268727424242451
21,10,control,0.00267768636363663
24,10,control,0.00267985121212146
27,10,control,0.00268435272727299
30,10,control,0.00268256636363662
33,10,control,0.00268177212121237
36,10,control,0.00267920212121241
39,10,control,0.00268567565656591
42,10,control,0.00267587121212148
45,10,control,0.00267282929292954
48,10,control,0.00268548424242449
0,100,control,0.00116422040404038
3,100,control,0.00116383808080805
6,100,control,0.00116205181818178
9,100,control,0.00116422828282825
12,100,control,0.00116177979797977
15,100,control,0.00116080171717169
18,100,control,0.00116152969696967
21,100,control,0.00116125222222219
24,100,control,0.00116278737373734
27,100,control,0.00116319232323229
30,100,control,0.00115900727272724
33,100,control,0.00115956737373734
36,100,control,0.00116321767676765
39,100,control,0.00116176181818179
42,100,control,0.00116087646464643
45,100,control,0.00116279565656563
48,100,control,0.00116697787878785
0,101,control,0.00212259686868677
3,101,control,0.00212906515151508
6,101,control,0.00212644636363629
9,101,control,0.00212451252525245
12,101,control,0.00212393070707062
15,101,control,0.00212445030303022
18,101,control,0.00212406121212114
21,101,control,0.00212171474747466
24,101,control,0.00212740909090901
27,101,control,0.00213110040404032
30,101,control,0.00212277010101
33,101,control,0.0021254887878787
36,101,control,0.00212422242424233
39,101,control,0.00212333202020195
42,101,control,0.00212520434343427
45,101,control,0.00212464969696962
48,101,control,0.00212945646464637
0,102,control,0.00128545747474743
3,102,control,0.0012842239393939
6,102,control,0.00128820191919187
9,102,control,0.00128561585858582
12,102,control,0.00128491565656561
15,102,control,0.00128681676767672
18,102,control,0.00128112515151511
21,102,control,0.00128601636363633
24,102,control,0.00128950696969693
27,102,control,0.00128714878787875
30,102,control,0.00128715353535349
33,102,control,0.00128860565656562
36,102,control,0.00128950212121208
39,102,control,0.00128382040404036
42,102,control,0.00128582989898986
45,102,control,0.00129147474747471
48,102,control,0.00128521585858582
0,103,control,0.00455017696969801
3,103,control,0.00454182494949605
6,103,control,0.00453440989899099
9,103,control,0.00454495656565767
12,103,control,0.00454717353535465
15,103,control,0.00453707818181924
18,103,control,0.00454035979798087
21,103,control,0.00453592606060711
24,103,control,0.00454031757575871
27,103,control,0.00454092232323343
30,103,control,0.00454825444444554
33,103,control,0.0045396886868698
36,103,control,0.0045472224242435
39,103,control,0.00453887383838487
42,103,control,0.00454490575757683
45,103,control,0.00453826404040511
48,103,control,0.00453764878787987
0,104,control,0.00305520656565712
3,104,control,0.0030616562626268
6,104,control,0.0030588166666672
9,104,control,0.00305768434343485
12,104,control,0.00306118373737426
15,104,control,0.00305645878787928
18,104,control,0.00305289606060658
21,104,control,0.00306329424242478
24,104,control,0.00306330010101062
27,104,control,0.00305900939393991
30,104,control,0.00305534606060658
33,104,control,0.00306092979798032
36,104,control,0.00306045919191975
39,104,control,0.0030517582828288
42,104,control,0.0030611382828288
45,104,control,0.00305660303030357
48,104,control,0.00305982323232376
0,105,control,0.00264347151515176
3,105,control,0.00264628595959623
6,105,control,0.0026461246464649
9,105,control,0.00264292626262651
12,105,control,0.00263615010101036
15,105,control,0.00264431191919218
18,105,control,0.00264164696969722
21,105,control,0.00264094939393963
24,105,control,0.00263900161616187
27,105,control,0.00264074161616188
30,105,control,0.00264426959595986
33,105,control,0.00264251242424269
36,105,control,0.0026480132323235
39,105,control,0.00264562020202045
42,105,control,0.00264511616161641
45,105,control,0.00264454787878813
48,105,control,0.00263522232323259
0,106,control,0.00319044838383898
3,106,control,0.003192010404041
6,106,control,0.00319877232323294
9,106,control,0.00319366767676829
12,106,control,0.00319158909090968
15,106,control,0.00318443656565714
18,106,control,0.00319182444444505
21,106,control,0.00319148484848542
24,106,control,0.00319396888888948
27,106,control,0.00319457323232384
30,106,control,0.00319364454545515
33,106,control,0.00319000545454605
36,106,control,0.00318970585858647
39,106,control,0.00319562525252586
42,106,control,0.00318565696969756
45,106,control,0.00319177464646523
48,106,control,0.00319005808080865
0,107,control,0.00150838999999993
3,107,control,0.00150731303030296
6,107,control,0.00150220606060599
9,107,control,0.00150393050505044
12,107,control,0.00150250333333327
15,107,control,0.00150622151515145
18,107,control,0.00150147979797973
21,107,control,0.00150754737373731
24,107,control,0.00150352141414135
27,107,control,0.00150626303030297
30,107,control,0.00150390999999993
33,107,control,0.00150533424242418
36,107,control,0.00150019181818175
39,107,control,0.00150727999999993
42,107,control,0.00150110323232316
45,107,control,0.001506457070707
48,107,control,0.0015031062626262
0,108,control,0.00375569595959687
3,108,control,0.00375804252525347
6,108,control,0.0037494163636373
9,108,control,0.00375623828282922
12,108,control,0.0037563168686878
15,108,control,0.00375518434343525
18,108,control,0.00375485010101102
21,108,control,0.00376243626262722
24,108,control,0.00375855222222315
27,108,control,0.00376139747474841
30,108,control,0.00376180636363729
33,108,control,0.00376401848484939
36,108,control,0.00375500484848576
39,108,control,0.00375695919192013
42,108,control,0.00375418646464741
45,108,control,0.0037565893939403
48,108,control,0.00375937333333429
0,109,control,0.00412988262626375
3,109,control,0.00414070424242541
6,109,control,0.00413963686868803
9,109,control,0.00414396919192033
12,109,control,0.00412706585858704
15,109,control,0.00413741434343549
18,109,control,0.00413465555555671
21,109,control,0.00413704878787996
24,109,control,0.00413995070707185
27,109,control,0.0041336806060618
30,109,control,0.00413378424242539
33,109,control,0.0041345581818194
36,109,control,0.0041361740404052
39,109,control,0.00413053070707188
42,109,control,0.00412827959596077
45,109,control,0.00414469303030416
48,109,control,0.0041324312121224
0,11,control,0.00816536939393985
3,11,control,0.00816013484848529
6,11,control,0.0081541674747478091
9,11,control,0.0081706266666672
12,11,control,0.00818003797979834
15,11,control,0.00815817010101055
18,11,control,0.00816010414141456
21,11,control,0.00817105787878833
24,11,control,0.00816234383838429
27,11,control,0.00816257838383883
30,11,control,0.00816540868686917
33,11,control,0.00816960080808136
36,11,control,0.00817533151515187
39,11,control,0.00815869666666714
42,11,control,0.00816404353535395
45,11,control,0.00817807323232374
48,11,control,0.00816733989899029
0,110,control,0.0028402587878792
3,110,control,0.00284032989899028
6,110,control,0.00284102505050545
9,110,control,0.00283808454545493
12,110,control,0.00284159434343471
15,110,control,0.00283251444444484
18,110,control,0.00284623202020239
21,110,control,0.00284171303030343
24,110,control,0.00283999020202059
27,110,control,0.00283938414141452
30,110,control,0.00284437848484886
33,110,control,0.00283888939393978
36,110,control,0.00283348040404076
39,110,control,0.00284148727272766
42,110,control,0.00283333252525293
45,110,control,0.00283920595959633
48,110,control,0.00283965535353575
0,111,control,0.00458714747474853
3,111,control,0.00457640989899098
6,111,control,0.00458735404040511
9,111,control,0.00458476373737482
12,111,control,0.00459250101010205
15,111,control,0.00458239070707182
18,111,control,0.0045887090909101
21,111,control,0.0045925530303041
24,111,control,0.00459425515151628
27,111,control,0.00458675888889001
