Time,Seed,Model,Value
0,1,control,157788
3,1,control,157874
6,1,control,158407
9,1,control,158790
12,1,control,158190
15,1,control,159257
18,1,control,158028
21,1,control,158136
24,1,control,157643
27,1,control,157381
30,1,control,158342
33,1,control,157797
36,1,control,157517
39,1,control,158078
42,1,control,158174
45,1,control,157988
48,1,control,158480
0,10,control,227868
3,10,control,227304
6,10,control,226051
9,10,control,226021
12,10,control,227131
15,10,control,226673
18,10,control,226815
21,10,control,226650
24,10,control,227711
27,10,control,228272
30,10,control,227403
33,10,control,227475
36,10,control,226736
39,10,control,226766
42,10,control,226955
45,10,control,226649
48,10,control,227699
0,100,control,101891
3,100,control,102423
6,100,control,102120
9,100,control,102590
12,100,control,102054
15,100,control,101701
18,100,control,102582
21,100,control,102348
24,100,control,102465
27,100,control,101814
30,100,control,102216
33,100,control,101822
36,100,control,101793
39,100,control,101892
42,100,control,103042
45,100,control,101732
48,100,control,101633
0,101,control,185957
3,101,control,185815
6,101,control,185087
9,101,control,185041
12,101,control,185541
15,101,control,185577
18,101,control,184816
21,101,control,184231
24,101,control,184128
27,101,control,185735
30,101,control,185118
33,101,control,186210
36,101,control,185577
39,101,control,184822
42,101,control,185101
45,101,control,185618
48,101,control,184807
0,102,control,111749
3,102,control,112865
6,102,control,112156
9,102,control,112828
12,102,control,112095
15,102,control,112113
18,102,control,112384
21,102,control,112306
24,102,control,112739
27,102,control,112233
30,102,control,112286
33,102,control,113337
36,102,control,112099
39,102,control,112488
42,102,control,113575
45,102,control,113165
48,102,control,112509
0,103,control,371630
3,103,control,371746
6,103,control,371952
9,103,control,373673
12,103,control,372345
15,103,control,372806
18,103,control,371800
21,103,control,371394
24,103,control,373404
27,103,control,373935
30,103,control,372831
33,103,control,372943
36,103,control,373538
39,103,control,371804
42,103,control,373377
45,103,control,372599
48,103,control,372803
0,104,control,259963
3,104,control,259199
6,104,control,259854
9,104,control,259906
12,104,control,259976
15,104,control,259741
18,104,control,259825
21,104,control,260118
24,104,control,260031
27,104,control,259543
30,104,control,259113
33,104,control,259367
36,104,control,260707
39,104,control,260924
42,104,control,259230
45,104,control,259920
48,104,control,260163
0,105,control,226889
3,105,control,226841
6,105,control,226052
9,105,control,226682
12,105,control,226617
15,105,control,225964
18,105,control,227100
21,105,control,227573
24,105,control,227301
27,105,control,226527
30,105,control,227238
33,105,control,227754
36,105,control,227393
39,105,control,225950
42,105,control,225504
45,105,control,226948
48,105,control,226696
0,106,control,267776
3,106,control,268186
6,106,control,268450
9,106,control,267681
12,106,control,268589
15,106,control,266496
18,106,control,267689
21,106,control,268931
24,106,control,268188
27,106,control,268755
30,106,control,267564
33,106,control,268226
36,106,control,267614
39,106,control,267335
42,106,control,268283
45,106,control,267360
48,106,control,267773
0,107,control,129881
3,107,control,129208
6,107,control,129399
9,107,control,129832
12,107,control,128823
15,107,control,129447
18,107,control,129396
21,107,control,129945
24,107,control,129847
27,107,control,129924
30,107,control,129733
33,107,control,129369
36,107,control,129485
39,107,control,128967
42,107,control,129499
45,107,control,129302
48,107,control,128766
0,108,control,314421
3,108,control,313880
6,108,control,314077
9,108,control,313693
12,108,control,314650
15,108,control,313979
18,108,control,314865
21,108,control,314405
24,108,control,315014
27,108,control,313861
30,108,control,313569
33,108,control,313630
36,108,control,313315
39,108,control,313137
42,108,control,314664
45,108,control,314216
48,108,control,314600
0,109,control,339317
3,109,control,342056
6,109,control,339983
9,109,control,341309
12,109,control,340177
15,109,control,341286
18,109,control,340250
21,109,control,340136
24,109,control,341024
27,109,control,341761
30,109,control,340751
33,109,control,341327
36,109,control,341700
39,109,control,341334
42,109,control,342054
45,109,control,341684
48,109,control,341219
0,11,control,618840
3,11,control,617436
6,11,control,618547
9,11,control,618716
12,11,control,618796
15,11,control,618670
18,11,control,618761
21,11,control,619211
24,11,control,618884
27,11,control,618764
30,11,control,619814
33,11,control,618758
36,11,control,619129
39,11,control,618141
42,11,control,618590
45,11,control,618553
48,11,control,618839
0,110,control,241762
3,110,control,241932
6,110,control,242879
9,110,control,241187
12,110,control,242135
15,110,control,240844
18,110,control,242546
21,110,control,242001
24,110,control,242299
27,110,control,240939
30,110,control,241867
33,110,control,241944
36,110,control,241742
39,110,control,243013
42,110,control,242087
45,110,control,241094
48,110,control,241497
0,111,control,376616
3,111,control,374816
6,111,control,375092
9,111,control,376903
12,111,control,374762
15,111,control,376761
18,111,control,375117
21,111,control,376262
24,111,control,376751
27,111,control,377064
30,111,control,375625
33,111,control,376132
36,111,control,375944
39,111,control,375289
42,111,control,375846
45,111,control,376213
48,111,control,376925
0,112,control,187589
3,112,control,188305
6,112,control,188497
9,112,control,187344
12,112,control,187565
15,112,control,188498
18,112,control,187389
21,112,control,188515
24,112,control,187450
27,112,control,187775
30,112,control,187056
33,112,control,188179
36,112,control,187743
39,112,control,187114
42,112,control,187820
45,112,control,187676
48,112,control,187354
0,113,control,176276
3,113,control,176678
6,113,control,177001
9,113,control,176411
12,113,control,176906
15,113,control,176541
18,113,control,175843
21,113,control,176048
24,113,control,176116
27,113,control,175698
30,113,control,175663
33,113,control,176110
36,113,control,175979
39,113,control,176630
42,113,control,176060
45,113,control,177008
48,113,control,176556
0,114,control,147588
3,114,control,148893
6,114,control,147940
9,114,control,148271
12,114,control,148190
15,114,control,147526
18,114,control,148143
21,114,control,147989
24,114,control,148243
27,114,control,148854
30,114,control,148431
33,114,control,148223
36,114,control,147768
39,114,control,147654
42,114,control,147739
45,114,control,148377
48,114,control,147882
0,115,control,175619
3,115,control,176660
6,115,control,176158
9,115,control,176580
12,115,control,176349
15,115,control,175276
18,115,control,176060
21,115,control,176099
24,115,control,176504
27,115,control,175661
30,115,control,175272
33,115,control,175997
36,115,control,175578
39,115,control,176970
42,115,control,176636
45,115,control,175172
48,115,control,176073
0,116,control,339306
3,116,control,338771
6,116,control,340210
9,116,control,339014
12,116,control,338921
15,116,control,339547
18,116,control,338208
21,116,control,338582
24,116,control,339115
27,116,control,338807
30,116,control,339334
33,116,control,339213
36,116,control,338885
39,116,control,339510
42,116,control,339543
45,116,control,339716
48,116,control,339304
0,117,control,130603
3,117,control,130337
6,117,control,130797
9,117,control,131551
12,117,control,130416
15,117,control,130116
18,117,control,130889
21,117,control,130734
24,117,control,130378
27,117,control,130509
30,117,control,129826
33,117,control,129834
36,117,control,130291
39,117,control,130861
42,117,control,130181
45,117,control,130420
48,117,control,130506
0,118,control,192778
3,118,control,192946
6,118,control,193113
9,118,control,193663
12,118,control,192379
15,118,control,192827
18,118,control,193441
21,118,control,192354
24,118,control,192928
27,118,control,193243
30,118,control,193666
33,118,control,193079
36,118,control,192518
39,118,control,193422
42,118,control,193744
45,118,control,192643
48,118,control,192764
0,119,control,124428
3,119,control,123998
6,119,control,124250
9,119,control,124623
12,119,control,123453
15,119,control,123961
18,119,control,124360
21,119,control,124148
24,119,control,124295
27,119,control,123932
30,119,control,123961
33,119,control,123858
36,119,control,124344
39,119,control,124045
42,119,control,123944
45,119,control,123744
48,119,control,124291
0,12,control,335602
3,12,control,336281
6,12,control,336681
9,12,control,336799
12,12,control,337859
15,12,control,336976
18,12,control,336943
21,12,control,336576
24,12,control,335146
27,12,control,337526
30,12,control,334741
33,12,control,336203
36,12,control,336338
39,12,control,336806
42,12,control,336180
45,12,control,337154
48,12,control,336241
0,120,control,217255
3,120,control,218068
6,120,control,217080
9,120,control,216643
12,120,control,217820
15,120,control,216423
18,120,control,216894
21,120,control,217011
24,120,control,217002
27,120,control,217855
30,120,control,216924
33,120,control,216390
36,120,control,216756
39,120,control,217643
42,120,control,217536
45,120,control,216866
48,120,control,216579
0,121,control,542616
3,121,control,541946
6,121,control,542501
9,121,control,543024
12,121,control,544123
15,121,control,543597
18,121,control,542738
21,121,control,543694
24,121,control,544063
