Time,Seed,Model,Value
0,1,control,0.00301530101010152
3,1,control,0.00300933252525301
6,1,control,0.00301137656565707
9,1,control,0.00300585646464698
12,1,control,0.00300304676767725
15,1,control,0.00300564373737424
18,1,control,0.00300658333333384
21,1,control,0.00301260636363688
24,1,control,0.00300480121212175
27,1,control,0.00300781727272777
30,1,control,0.00300395383838433
33,1,control,0.00300744424242473
36,1,control,0.00300754323232373
39,1,control,0.00300415454545507
42,1,control,0.00301261606060655
45,1,control,0.00301079484848535
48,1,control,0.0030001613131318
0,10,control,0.00302254595959642
3,10,control,0.0030294385858591
6,10,control,0.00302954252525301
9,10,control,0.00304029383838434
12,10,control,0.00302283878787925
15,10,control,0.00302076141414189
18,10,control,0.00302527676767726
21,10,control,0.00302214393939444
24,10,control,0.00302519060606108
27,10,control,0.00301448727272773
30,10,control,0.00302989505050554
33,10,control,0.00302567565656612
36,10,control,0.00301764797979847
39,10,control,0.0030234341414146
42,10,control,0.00302994777777828
45,10,control,0.00302501010101059
48,10,control,0.0030256126262631
0,100,control,0.00296675323232373
3,100,control,0.00296972898989947
6,100,control,0.00296986161616208
9,100,control,0.00296823626262673
12,100,control,0.00297096696969747
15,100,control,0.00296616818181866
18,100,control,0.00297046878787926
21,100,control,0.00297386191919239
24,100,control,0.00296671434343483
27,100,control,0.00297544606060652
30,100,control,0.00296935656565709
33,100,control,0.00296153585858633
36,100,control,0.00296687898989948
39,100,control,0.00296897989899043
42,100,control,0.0029703009090914
45,100,control,0.00296830767676816
48,100,control,0.00296645575757621
0,11,control,0.00299789363636411
3,11,control,0.00300040696969742
6,11,control,0.00300578070707116
9,11,control,0.00299021868686913
12,11,control,0.00299979696969742
15,11,control,0.00299965181818226
18,11,control,0.0029995113131318
21,11,control,0.00300091525252569
24,11,control,0.00299653717171762
27,11,control,0.00300075868686914
30,11,control,0.00299988959596005
33,11,control,0.00299019111111155
36,11,control,0.00299758141414181
39,11,control,0.00300607141414188
42,11,control,0.00299547111111154
45,11,control,0.00299409808080853
48,11,control,0.0029995853535358
0,12,control,0.00302071989899036
3,12,control,0.0030167008080813
6,12,control,0.00301399353535399
9,12,control,0.00301728252525298
12,12,control,0.00302042121212166
15,12,control,0.003021483535354
18,12,control,0.00302417747474796
21,12,control,0.00302102101010146
24,12,control,0.00301341303030351
27,12,control,0.00301621727272773
30,12,control,0.00302050080808129
33,12,control,0.00301788939393986
36,12,control,0.00301581616161662
39,12,control,0.00302058545454591
42,12,control,0.00301592080808131
45,12,control,0.00302392606060651
48,12,control,0.00301881272727317
0,13,control,0.00296947393939436
3,13,control,0.00297369595959641
6,13,control,0.00297081747474789
9,13,control,0.00296902828282874
12,13,control,0.00296639101010144
15,13,control,0.00296446636363679
18,13,control,0.00296962414141458
21,13,control,0.00297004939393986
24,13,control,0.00296678282828324
27,13,control,0.00296682616161659
30,13,control,0.00296348393939435
33,13,control,0.00296904151515192
36,13,control,0.00296747525252566
39,13,control,0.00296995555555599
42,13,control,0.00296823434343481
45,13,control,0.00297192434343479
48,13,control,0.00296186424242468
0,14,control,0.00294054484848532
3,14,control,0.00293557787878832
6,14,control,0.00294005919191967
9,14,control,0.00293680070707115
12,14,control,0.00293261707070751
15,14,control,0.00293907323232371
18,14,control,0.00293582525252571
21,14,control,0.00293136151515195
24,14,control,0.0029370141414146
27,14,control,0.002937120505051
30,14,control,0.00293872323232366
33,14,control,0.0029396629292934
36,14,control,0.00294099868686913
39,14,control,0.00293398040404086
42,14,control,0.00293571000000047
45,14,control,0.00293970030303074
48,14,control,0.00294126212121257
0,15,control,0.0029802530303035
3,15,control,0.00297795030303077
6,15,control,0.00297999828282873
9,15,control,0.00297172949494996
12,15,control,0.00297796505050551
15,15,control,0.00297446171717217
18,15,control,0.00297461979798025
21,15,control,0.00297883030303075
24,15,control,0.00297293969697014
27,15,control,0.00298090919191965
30,15,control,0.00297096353535396
33,15,control,0.00297522161616207
36,15,control,0.00297603464646512
39,15,control,0.00297652929292975
42,15,control,0.00298082121212168
45,15,control,0.00298168242424288
48,15,control,0.00297898080808125
0,16,control,0.0029564927272732
3,16,control,0.00295841818181864
6,16,control,0.00295176292929336
9,16,control,0.00295044343434386
12,16,control,0.00295414020202065
15,16,control,0.00294976434343485
18,16,control,0.00294347070707114
21,16,control,0.00295733292929339
24,16,control,0.00295782131313173
27,16,control,0.00295796909090952
30,16,control,0.00295939000000046
33,16,control,0.00296270646464692
36,16,control,0.00295194666666711
39,16,control,0.00295993737373782
42,16,control,0.00295147838383885
45,16,control,0.0029573943434348
48,16,control,0.00295469303030348
0,17,control,0.00298205676767725
3,17,control,0.00298220090909138
6,17,control,0.00297881333333382
9,17,control,0.0029782020202025
12,17,control,0.00297621060606104
15,17,control,0.0029819109090914
18,17,control,0.00297913777777826
21,17,control,0.00298044787878834
24,17,control,0.00297649959596006
27,17,control,0.00298354151515198
30,17,control,0.00298572909090958
33,17,control,0.00298093888888939
36,17,control,0.00298210101010144
39,17,control,0.00298015868686917
42,17,control,0.00297918393939443
45,17,control,0.00297832818181865
48,17,control,0.0029795248484853
0,18,control,0.00301394060606112
3,18,control,0.00302210272727323
6,18,control,0.00301567737373789
9,18,control,0.00301630232323283
12,18,control,0.00301063515151564
15,18,control,0.0030097502020207
18,18,control,0.00301943323232376
21,18,control,0.00301185898989951
24,18,control,0.00302381434343483
27,18,control,0.00301524898989949
30,18,control,0.00301183282828333
33,18,control,0.00301145383838438
36,18,control,0.00301312181818233
39,18,control,0.00301747060606112
42,18,control,0.00301401828282881
45,18,control,0.00301260313131363
48,18,control,0.003016268484849
0,19,control,0.00301037595959642
3,19,control,0.00301218787878835
6,19,control,0.00301020636363683
9,19,control,0.00301754555555604
12,19,control,0.00301184858585906
15,19,control,0.00301305414141461
18,19,control,0.0030138340404045
21,19,control,0.00301983717171768
24,19,control,0.00301770070707123
27,19,control,0.00301098797979849
30,19,control,0.00300990414141464
33,19,control,0.00301205787878837
36,19,control,0.0030114600000005
39,19,control,0.00302145383838436
42,19,control,0.00301440909090959
45,19,control,0.00301594595959644
48,19,control,0.00301132000000048
0,2,control,0.00301863505050551
3,2,control,0.00301113848484897
6,2,control,0.00301548040404088
9,2,control,0.00302146262626312
12,2,control,0.00300911262626313
15,2,control,0.00302216616161665
18,2,control,0.00302100828282875
21,2,control,0.00301075060606108
24,2,control,0.00302132393939446
27,2,control,0.00301937555555606
30,2,control,0.00301134191919241
33,2,control,0.00301593313131361
36,2,control,0.00301630797979848
39,2,control,0.00301699969697022
42,2,control,0.00301599727272777
45,2,control,0.00301449454545504
48,2,control,0.0030168933333338
0,20,control,0.00293954888888932
3,20,control,0.00294173444444491
6,20,control,0.00293813535353583
9,20,control,0.00294185121212167
12,20,control,0.00293362292929338
15,20,control,0.00294267868686913
18,20,control,0.00293799565656615
21,20,control,0.00293337464646508
24,20,control,0.00294150989899037
27,20,control,0.00294441959596004
30,20,control,0.00293326828282874
33,20,control,0.00293666686868735
36,20,control,0.00294047959596002
39,20,control,0.00294202020202067
42,20,control,0.00293367131313178
45,20,control,0.00293571555555602
48,20,control,0.00294242737373785
0,21,control,0.00301104505050553
3,21,control,0.00301678282828333
6,21,control,0.00301547767676816
9,21,control,0.00301489303030352
12,21,control,0.00301561565656615
15,21,control,0.00301526848484899
18,21,control,0.00300656828282875
21,21,control,0.00301946606060653
24,21,control,0.00301725585858633
27,21,control,0.00301107050505099
30,21,control,0.00300184575757623
33,21,control,0.00300971787878837
36,21,control,0.00301222949494995
39,21,control,0.00301837282828329
42,21,control,0.00302233464646512
45,21,control,0.00301423656565704
48,21,control,0.00301757545454593
0,22,control,0.002969382525253
3,22,control,0.00296510828282873
6,22,control,0.00296907393939441
9,22,control,0.00296325757575803
12,22,control,0.0029668449494954
15,22,control,0.00296716282828331
18,22,control,0.0029688971717176
21,22,control,0.00296866838383882
24,22,control,0.0029659733333338
27,22,control,0.0029728378787883
30,22,control,0.00297151363636409
33,22,control,0.00297071080808127
36,22,control,0.00296366828282873
39,22,control,0.00296926252525298
42,22,control,0.00296406010101055
45,22,control,0.00296990616161661
48,22,control,0.00296781848484897
0,23,control,0.00301698404040453
3,23,control,0.00301436252525301
6,23,control,0.00301167060606108
9,23,control,0.00301329171717222
12,23,control,0.00301960050505099
15,23,control,0.00301874717171767
18,23,control,0.00301797040404086
21,23,control,0.00301319929292979
24,23,control,0.00301824565656616
27,23,control,0.00300836020202067
30,23,control,0.00301260393939443
33,23,control,0.00301275424242473
36,23,control,0.00301700343434391
39,23,control,0.00301758393939443
42,23,control,0.00301580050505101
45,23,control,0.00302103232323283
48,23,control,0.00300992424242472
0,24,control,0.00301984292929339
3,24,control,0.00302108757575805
6,24,control,0.00301985212121259
9,24,control,0.00302141555555604
12,24,control,0.00302218393939441
15,24,control,0.003020665555556
18,24,control,0.00301981242424289
21,24,control,0.00302102676767722
24,24,control,0.00302222989899036
27,24,control,0.00301699858585905
30,24,control,0.00301531353535397
