Time,Seed,Model,Value
0,1,control,252367
3,1,control,252982
6,1,control,253415
9,1,control,252472
12,1,control,252041
15,1,control,252268
18,1,control,253231
21,1,control,252336
24,1,control,252807
27,1,control,251963
30,1,control,252960
33,1,control,251978
36,1,control,252151
39,1,control,252155
42,1,control,252267
45,1,control,252699
48,1,control,251998
0,10,control,252761
3,10,control,254116
6,10,control,253402
9,10,control,253169
12,10,control,253005
15,10,control,252069
18,10,control,254120
21,10,control,252711
24,10,control,252903
27,10,control,253121
30,10,control,253225
33,10,control,252938
36,10,control,252650
39,10,control,253013
42,10,control,253777
45,10,control,253664
48,10,control,253219
0,100,control,252307
3,100,control,253763
6,100,control,252020
9,100,control,251564
12,100,control,252612
15,100,control,252654
18,100,control,251925
21,100,control,252167
24,100,control,250875
27,100,control,251802
30,100,control,251635
33,100,control,251284
36,100,control,251884
39,100,control,252884
42,100,control,251343
45,100,control,252336
48,100,control,251798
0,11,control,254261
3,11,control,253481
6,11,control,253962
9,11,control,252870
12,11,control,253469
15,11,control,253969
18,11,control,251922
21,11,control,253298
24,11,control,253955
27,11,control,254246
30,11,control,252946
33,11,control,253078
36,11,control,253172
39,11,control,253056
42,11,control,253614
45,11,control,253290
48,11,control,253070
0,12,control,253742
3,12,control,254095
6,12,control,254516
9,12,control,253828
12,12,control,253540
15,12,control,254116
18,12,control,253936
21,12,control,254854
24,12,control,253806
27,12,control,255107
30,12,control,255116
33,12,control,254605
36,12,control,254749
39,12,control,254937
42,12,control,254952
45,12,control,253200
48,12,control,253920
0,13,control,251736
3,13,control,252282
6,13,control,251823
9,13,control,251555
12,13,control,252351
15,13,control,252219
18,13,control,251980
21,13,control,252144
24,13,control,251266
27,13,control,252128
30,13,control,251614
33,13,control,251745
36,13,control,251479
39,13,control,252374
42,13,control,252625
45,13,control,252213
48,13,control,251689
0,14,control,253393
3,14,control,253514
6,14,control,253434
9,14,control,252684
12,14,control,253198
15,14,control,252859
18,14,control,253299
21,14,control,254408
24,14,control,252828
27,14,control,253459
30,14,control,252730
33,14,control,253053
36,14,control,253274
39,14,control,252402
42,14,control,253695
45,14,control,253303
48,14,control,252173
0,15,control,252627
3,15,control,253089
6,15,control,252391
9,15,control,251612
12,15,control,251673
15,15,control,252494
18,15,control,252024
21,15,control,252594
24,15,control,251289
27,15,control,252167
30,15,control,251737
33,15,control,252039
36,15,control,253097
39,15,control,251143
42,15,control,252419
45,15,control,251924
48,15,control,252855
0,16,control,250504
3,16,control,251202
6,16,control,250961
9,16,control,251275
12,16,control,250757
15,16,control,251019
18,16,control,250957
21,16,control,251372
24,16,control,251993
27,16,control,250522
30,16,control,251513
33,16,control,251674
36,16,control,251023
39,16,control,250571
42,16,control,251554
45,16,control,250205
48,16,control,250082
0,17,control,253668
3,17,control,252831
6,17,control,252907
9,17,control,252517
12,17,control,252653
15,17,control,253126
18,17,control,253116
21,17,control,251729
24,17,control,252611
27,17,control,253160
30,17,control,253069
33,17,control,252439
36,17,control,252572
39,17,control,253194
42,17,control,252622
45,17,control,251524
48,17,control,252182
0,18,control,253859
3,18,control,253584
6,18,control,253812
9,18,control,254230
12,18,control,253107
15,18,control,253857
18,18,control,254244
21,18,control,253729
24,18,control,254241
27,18,control,255780
30,18,control,254814
33,18,control,254405
36,18,control,254257
39,18,control,254681
42,18,control,254096
45,18,control,253777
48,18,control,254375
0,19,control,251702
3,19,control,252297
6,19,control,253549
9,19,control,253616
12,19,control,252437
15,19,control,252517
18,19,control,251713
21,19,control,253696
24,19,control,253976
27,19,control,252057
30,19,control,253275
33,19,control,253988
36,19,control,253136
39,19,control,253183
42,19,control,252652
45,19,control,252603
48,19,control,252493
0,2,control,253223
3,2,control,252406
6,2,control,253191
9,2,control,253237
12,2,control,253473
15,2,control,253696
18,2,control,252911
21,2,control,253616
24,2,control,252916
27,2,control,253687
30,2,control,252173
33,2,control,253225
36,2,control,252992
39,2,control,253510
42,2,control,253316
45,2,control,252072
48,2,control,254111
0,20,control,250762
3,20,control,252401
6,20,control,250692
9,20,control,251106
12,20,control,251042
15,20,control,251267
18,20,control,251680
21,20,control,251579
24,20,control,250637
27,20,control,250995
30,20,control,250944
33,20,control,251835
36,20,control,250952
39,20,control,250922
42,20,control,251407
45,20,control,251526
48,20,control,251719
0,21,control,253343
3,21,control,253051
6,21,control,253128
9,21,control,251712
12,21,control,251537
15,21,control,253362
18,21,control,252424
21,21,control,252191
24,21,control,253464
27,21,control,252908
30,21,control,252646
