Time,Seed,Model,Value
0,1,control,43155
3,1,control,43156
6,1,control,43264
9,1,control,43417
12,1,control,43203
15,1,control,43181
18,1,control,43199
21,1,control,43045
24,1,control,43172
27,1,control,43348
30,1,control,43531
33,1,control,43247
36,1,control,43138
39,1,control,43167
42,1,control,43171
45,1,control,43160
48,1,control,43309
0,10,control,31232
3,10,control,31187
6,10,control,31228
9,10,control,31316
12,10,control,31350
15,10,control,31288
18,10,control,31286
21,10,control,31211
24,10,control,31347
27,10,control,31334
30,10,control,31256
33,10,control,31395
36,10,control,31190
39,10,control,31294
42,10,control,31241
45,10,control,31297
48,10,control,31185
0,100,control,36087
3,100,control,36052
6,100,control,36129
9,100,control,36125
12,100,control,36194
15,100,control,35921
18,100,control,35980
21,100,control,35952
24,100,control,36324
27,100,control,35975
30,100,control,36282
33,100,control,35954
36,100,control,36052
39,100,control,36246
42,100,control,36080
45,100,control,36203
48,100,control,36189
0,101,control,28166
3,101,control,27996
6,101,control,28158
9,101,control,28073
12,101,control,28023
15,101,control,28175
18,101,control,28051
21,101,control,28115
24,101,control,28120
27,101,control,28132
30,101,control,28182
33,101,control,28068
36,101,control,28033
39,101,control,28063
42,101,control,28047
45,101,control,28030
48,101,control,27994
0,102,control,30164
3,102,control,30224
6,102,control,30027
9,102,control,30055
12,102,control,30273
15,102,control,30222
18,102,control,30202
21,102,control,30033
24,102,control,30269
27,102,control,30118
30,102,control,30230
33,102,control,30112
36,102,control,30023
39,102,control,30230
42,102,control,30274
45,102,control,30244
48,102,control,30153
0,103,control,18509
3,103,control,18530
6,103,control,18606
9,103,control,18546
12,103,control,18680
15,103,control,18583
18,103,control,18590
21,103,control,18508
24,103,control,18590
27,103,control,18487
30,103,control,18596
33,103,control,18562
36,103,control,18609
39,103,control,18579
42,103,control,18669
45,103,control,18492
48,103,control,18605
0,104,control,30565
3,104,control,30376
6,104,control,30386
9,104,control,30228
12,104,control,30596
15,104,control,30393
18,104,control,30347
21,104,control,30427
24,104,control,30490
27,104,control,30391
30,104,control,30456
33,104,control,30452
36,104,control,30399
39,104,control,30297
42,104,control,30622
45,104,control,30513
48,104,control,30619
0,105,control,32988
3,105,control,32807
6,105,control,32899
9,105,control,32794
