Time,Seed,Model,Value
0,1,control,0.0129235
3,1,control,0.012969
6,1,control,0.012907
9,1,control,0.012899
12,1,control,0.012919
15,1,control,0.012884
18,1,control,0.012903
21,1,control,0.0128885
24,1,control,0.0128715
27,1,control,0.012888
30,1,control,0.0128825
33,1,control,0.0129705
36,1,control,0.012885
39,1,control,0.0129145
42,1,control,0.0129335
45,1,control,0.0129225
48,1,control,0.0129625
0,10,control,0.0177585
3,10,control,0.0177865
6,10,control,0.017808
9,10,control,0.017749
12,10,control,0.0178495
15,10,control,0.01783
18,10,control,0.0177895
21,10,control,0.0177365
24,10,control,0.017871
27,10,control,0.0176915
30,10,control,0.0177385
33,10,control,0.0178365
36,10,control,0.0177735
39,10,control,0.0178145
42,10,control,0.017785
45,10,control,0.01774
48,10,control,0.017839
0,100,control,0.0151245
3,100,control,0.015181
6,100,control,0.015171
9,100,control,0.015141
12,100,control,0.0150765
15,100,control,0.0152135
18,100,control,0.0151515
21,100,control,0.015197
24,100,control,0.015236
27,100,control,0.0151235
30,100,control,0.015273
33,100,control,0.0152135
36,100,control,0.015137
39,100,control,0.015159
42,100,control,0.015175
45,100,control,0.015173
48,100,control,0.0152355
0,101,control,0.0122275
3,101,control,0.0122405
6,101,control,0.012324
9,101,control,0.0123335
12,101,control,0.0122525
15,101,control,0.012302
18,101,control,0.012296
21,101,control,0.012303
24,101,control,0.0122735
27,101,control,0.012248
30,101,control,0.0122825
33,101,control,0.0123755
36,101,control,0.0122915
39,101,control,0.0122905
42,101,control,0.0122425
45,101,control,0.012318
48,101,control,0.0122545
0,102,control,0.014046
3,102,control,0.014181
6,102,control,0.014138
9,102,control,0.0141115
12,102,control,0.014114
15,102,control,0.0141015
18,102,control,0.01403
21,102,control,0.0140765
24,102,control,0.014141
27,102,control,0.0141625
30,102,control,0.014121
33,102,control,0.0141225
36,102,control,0.014143
39,102,control,0.0140875
42,102,control,0.014149
45,102,control,0.014165
48,102,control,0.0141625
0,103,control,0.0139515
3,103,control,0.0139715
6,103,control,0.014017
9,103,control,0.013964
12,103,control,0.0139525
15,103,control,0.014013
18,103,control,0.0140255
21,103,control,0.0140205
24,103,control,0.013986
27,103,control,0.014089
30,103,control,0.013903
33,103,control,0.01396
36,103,control,0.0139835
39,103,control,0.0139505
42,103,control,0.013943
45,103,control,0.013994
48,103,control,0.0140435
0,104,control,0.0147325
3,104,control,0.014813
6,104,control,0.014807
9,104,control,0.0148175
12,104,control,0.014838
15,104,control,0.014848
18,104,control,0.0148165
21,104,control,0.014833
24,104,control,0.014874
27,104,control,0.0148155
30,104,control,0.014894
33,104,control,0.0147845
36,104,control,0.014776
39,104,control,0.0147795
42,104,control,0.0148065
45,104,control,0.014861
48,104,control,0.014832
0,105,control,0.0144335
3,105,control,0.0143625
6,105,control,0.014412
9,105,control,0.014381
12,105,control,0.0144445
15,105,control,0.0143735
18,105,control,0.0144415
21,105,control,0.0144675
24,105,control,0.0144295
27,105,control,0.0145325
30,105,control,0.0143935
33,105,control,0.0143565
36,105,control,0.0143935
39,105,control,0.0144145
42,105,control,0.0144555
45,105,control,0.0144825
48,105,control,0.014452
0,106,control,0.0167625
3,106,control,0.016824
6,106,control,0.016699
9,106,control,0.0167765
12,106,control,0.016719
15,106,control,0.016728
18,106,control,0.0168515
21,106,control,0.016787
24,106,control,0.01676
27,106,control,0.016803
30,106,control,0.016781
33,106,control,0.016803
36,106,control,0.016774
39,106,control,0.016817
42,106,control,0.016862
45,106,control,0.016846
48,106,control,0.016784
0,107,control,0.0149125
3,107,control,0.014907
6,107,control,0.0148615
9,107,control,0.014842
12,107,control,0.014917
15,107,control,0.0150075
18,107,control,0.014918
21,107,control,0.0149635
24,107,control,0.014877
27,107,control,0.0148895
30,107,control,0.0148875
33,107,control,0.014934
36,107,control,0.014903
39,107,control,0.014917
42,107,control,0.0149605
45,107,control,0.0149035
48,107,control,0.014872
0,108,control,0.0134635
3,108,control,0.0134715
6,108,control,0.013518
9,108,control,0.013452
12,108,control,0.013482
15,108,control,0.013509
18,108,control,0.0134445
21,108,control,0.01344
24,108,control,0.013466
27,108,control,0.0135425
30,108,control,0.0134555
33,108,control,0.0134475
36,108,control,0.013469
39,108,control,0.0135155
42,108,control,0.0134345
45,108,control,0.013528
48,108,control,0.0134725
0,109,control,0.016841
3,109,control,0.0167615
6,109,control,0.016861
9,109,control,0.016754
12,109,control,0.016889
15,109,control,0.0167785
18,109,control,0.0168595
21,109,control,0.016881
24,109,control,0.016704
27,109,control,0.0167845
30,109,control,0.016762
33,109,control,0.0167765
36,109,control,0.016795
39,109,control,0.0168425
42,109,control,0.016853
45,109,control,0.0168905
48,109,control,0.016814
0,11,control,0.016123
3,11,control,0.016047
6,11,control,0.016033
9,11,control,0.016088
12,11,control,0.0160255
15,11,control,0.016048
18,11,control,0.0160415
21,11,control,0.01609
24,11,control,0.0161325
27,11,control,0.0161195
30,11,control,0.0160815
33,11,control,0.016164
36,11,control,0.016072
39,11,control,0.0160785
42,11,control,0.016078
45,11,control,0.0161495
48,11,control,0.0160685
0,110,control,0.01854
3,110,control,0.0185815
