Seed,Model,Ne
1,control,17996
10,control,27447
100,control,37191
101,control,14823
102,control,40437
103,control,25679
104,control,41833
105,control,21784
106,control,39448
107,control,43950
108,control,35304
109,control,25746
11,control,32321
110,control,10323
111,control,30489
112,control,33191
113,control,21756
114,control,36476
115,control,17150
116,control,39212
117,control,34652
118,control,23167
119,control,13047
12,control,69286
120,control,57918
121,control,30822
122,control,21534
123,control,30618
124,control,29143
125,control,47266
126,control,19018
127,control,26433
128,control,34338
129,control,37054
13,control,28810
130,control,55386
131,control,38126
132,control,38746
133,control,23220
134,control,24298
135,control,13210
136,control,28879
137,control,21675
138,control,11577
139,control,35387
14,control,20731
140,control,15953
141,control,46725
142,control,19329
143,control,15620
144,control,41418
145,control,39017
146,control,11431
147,control,12651
148,control,19318
149,control,16583
15,control,23589
150,control,51876
151,control,13118
152,control,33950
153,control,27744
154,control,20886
155,control,20353
156,control,57006
157,control,15881
158,control,22699
159,control,57331
16,control,38931
160,control,49922
161,control,15236
162,control,17549
163,control,15254
164,control,67075
165,control,15352
166,control,17335
167,control,21742
168,control,35670
169,control,33058
17,control,16360
170,control,24644
171,control,24322
172,control,41257
173,control,25168
174,control,29696
175,control,29296
176,control,28219
177,control,15097
178,control,23141
179,control,28575
18,control,20469
180,control,18916
181,control,29684
182,control,27363
183,control,22427
184,control,49908
185,control,27616
186,control,23172
187,control,21100
188,control,14406
189,control,39878
19,control,29434
190,control,23643
191,control,33390
192,control,13049
193,control,10565
194,control,32941
195,control,19562
196,control,37331
197,control,17962
198,control,69002
199,control,19327
2,control,30199
20,control,66069
200,control,27557
21,control,36057
22,control,26088
23,control,26560
24,control,36983
25,control,27744
26,control,25605
27,control,21172
28,control,17060
29,control,12631
3,control,31862
30,control,9664
31,control,84681
32,control,37938
33,control,20222
34,control,41448
35,control,29611
36,control,34472
37,control,37135
38,control,20851
39,control,17398
4,control,20288
40,control,33548
41,control,22119
42,control,18807
43,control,42747
44,control,24807
45,control,12289
46,control,50149
47,control,24067
48,control,16611
49,control,29420
5,control,32603
50,control,11060
51,control,18469
52,control,33503
53,control,17003
54,control,42820
55,control,12866
56,control,26035
57,control,61229
58,control,28844
59,control,28326
6,control,44007
60,control,26626
61,control,5931
62,control,14930
63,control,23993
64,control,21859
65,control,23619
66,control,16575
67,control,34894
68,control,14610
69,control,39524
7,control,53339
70,control,5754
71,control,23029
72,control,20782
73,control,42452
74,control,25623
75,control,43117
76,control,14301
77,control,46790
78,control,49548
79,control,33720
8,control,39018
80,control,21363
81,control,18016
82,control,37409
