Seed,Model,Ne
1,control,30000
10,control,30000
100,control,30000
101,control,30000
102,control,30000
103,control,30000
104,control,30000
105,control,30000
106,control,30000
107,control,30000
108,control,30000
109,control,30000
11,control,30000
110,control,30000
111,control,30000
112,control,30000
113,control,30000
114,control,30000
115,control,30000
116,control,30000
117,control,30000
118,control,30000
119,control,30000
12,control,30000
120,control,30000
121,control,30000
122,control,30000
123,control,30000
124,control,30000
125,control,30000
126,control,30000
127,control,30000
128,control,30000
129,control,30000
13,control,30000
130,control,30000
131,control,30000
132,control,30000
133,control,30000
134,control,30000
135,control,30000
136,control,30000
137,control,30000
138,control,30000
139,control,30000
14,control,30000
140,control,30000
141,control,30000
142,control,30000
143,control,30000
144,control,30000
145,control,30000
146,control,30000
147,control,30000
148,control,30000
149,control,30000
15,control,30000
150,control,30000
151,control,30000
152,control,30000
153,control,30000
154,control,30000
155,control,30000
156,control,30000
157,control,30000
158,control,30000
159,control,30000
16,control,30000
160,control,30000
161,control,30000
162,control,30000
163,control,30000
164,control,30000
165,control,30000
166,control,30000
167,control,30000
168,control,30000
169,control,30000
17,control,30000
170,control,30000
171,control,30000
172,control,30000
173,control,30000
174,control,30000
175,control,30000
176,control,30000
177,control,30000
178,control,30000
179,control,30000
18,control,30000
180,control,30000
181,control,30000
182,control,30000
183,control,30000
184,control,30000
185,control,30000
186,control,30000
187,control,30000
188,control,30000
189,control,30000
19,control,30000
190,control,30000
191,control,30000
192,control,30000
193,control,30000
194,control,30000
195,control,30000
196,control,30000
197,control,30000
198,control,30000
199,control,30000
2,control,30000
20,control,30000
200,control,30000
21,control,30000
22,control,30000
23,control,30000
24,control,30000
25,control,30000
26,control,30000
27,control,30000
28,control,30000
29,control,30000
3,control,30000
30,control,30000
31,control,30000
32,control,30000
33,control,30000
34,control,30000
35,control,30000
36,control,30000
37,control,30000
38,control,30000
39,control,30000
4,control,30000
40,control,30000
41,control,30000
42,control,30000
43,control,30000
44,control,30000
45,control,30000
46,control,30000
47,control,30000
48,control,30000
49,control,30000
5,control,30000
50,control,30000
51,control,30000
52,control,30000
53,control,30000
54,control,30000
55,control,30000
56,control,30000
57,control,30000
58,control,30000
59,control,30000
6,control,30000
60,control,30000
61,control,30000
62,control,30000
63,control,30000
64,control,30000
65,control,30000
66,control,30000
67,control,30000
68,control,30000
69,control,30000
7,control,30000
70,control,30000
71,control,30000
72,control,30000
73,control,30000
74,control,30000
