Time,Seed,Model,Value
0,1,control,0.003142
3,1,control,0.003109
6,1,control,0.0031325
9,1,control,0.0031315
12,1,control,0.0031095
15,1,control,0.003178
18,1,control,0.0031105
21,1,control,0.003173
24,1,control,0.003154
27,1,control,0.0031525
30,1,control,0.0031195
33,1,control,0.003147
36,1,control,0.003206
39,1,control,0.0031285
42,1,control,0.0031755
45,1,control,0.0031415
48,1,control,0.0031675
0,10,control,0.0021985
3,10,control,0.0022115
6,10,control,0.0021855
9,10,control,0.002183
12,10,control,0.0022005
15,10,control,0.0021975
18,10,control,0.002197
21,10,control,0.002188
24,10,control,0.0021815
27,10,control,0.002233
30,10,control,0.0021855
33,10,control,0.002173
36,10,control,0.002211
39,10,control,0.0022045
42,10,control,0.00217
45,10,control,0.0022305
48,10,control,0.002193
0,100,control,0.0046315
3,100,control,0.004611
6,100,control,0.004562
9,100,control,0.00458
12,100,control,0.0046
15,100,control,0.0046085
18,100,control,0.004596
21,100,control,0.0045985
24,100,control,0.004613
27,100,control,0.004606
30,100,control,0.0046775
33,100,control,0.004619
36,100,control,0.004619
39,100,control,0.004644
42,100,control,0.0045565
45,100,control,0.0046205
48,100,control,0.00459
0,101,control,0.002628
3,101,control,0.0026415
6,101,control,0.0026295
9,101,control,0.002598
12,101,control,0.0026265
15,101,control,0.0026505
18,101,control,0.002636
21,101,control,0.0026435
24,101,control,0.002651
27,101,control,0.0026395
30,101,control,0.002588
33,101,control,0.0026415
36,101,control,0.0026015
39,101,control,0.0026065
42,101,control,0.002605
45,101,control,0.002597
48,101,control,0.002659
0,102,control,0.0077185
3,102,control,0.007703
6,102,control,0.007738
9,102,control,0.0077405
12,102,control,0.0077475
15,102,control,0.0077145
18,102,control,0.00769
21,102,control,0.00765
24,102,control,0.007719
27,102,control,0.0077425
30,102,control,0.0077245
33,102,control,0.007738
36,102,control,0.0077085
39,102,control,0.0077265
42,102,control,0.007745
45,102,control,0.007695
48,102,control,0.007681
0,103,control,0.002768
3,103,control,0.002734
6,103,control,0.0027385
9,103,control,0.0027455
12,103,control,0.002753
15,103,control,0.0027445
18,103,control,0.00277
21,103,control,0.0027665
24,103,control,0.0027795
27,103,control,0.0027545
30,103,control,0.002782
33,103,control,0.002795
36,103,control,0.0027735
39,103,control,0.002785
42,103,control,0.0027935
45,103,control,0.0027795
48,103,control,0.0027935
0,104,control,0.0017235
3,104,control,0.0017085
6,104,control,0.0016705
9,104,control,0.0017185
12,104,control,0.0017005
15,104,control,0.001705
18,104,control,0.0017025
21,104,control,0.001708
24,104,control,0.001731
27,104,control,0.0016865
