Seed,Model,Ne
1,control,33938
10,control,23078
100,control,49587
101,control,28267
102,control,81701
103,control,29432
104,control,17983
105,control,18556
106,control,29204
107,control,31929
108,control,48944
109,control,29136
11,control,48647
110,control,22661
111,control,43545
112,control,23363
113,control,20347
114,control,32121
115,control,29117
116,control,17896
117,control,31742
118,control,33731
119,control,24911
12,control,36555
120,control,22746
121,control,19993
122,control,20676
123,control,19304
124,control,29801
125,control,27027
126,control,24685
127,control,20139
128,control,31302
129,control,22298
13,control,28393
130,control,35191
131,control,46588
132,control,37134
133,control,34003
134,control,33108
135,control,38998
136,control,34010
137,control,24130
138,control,40237
139,control,19329
14,control,27382
140,control,43088
141,control,46864
142,control,23707
143,control,48548
144,control,44070
145,control,32085
146,control,62034
147,control,24350
148,control,23003
149,control,31729
15,control,18565
150,control,23322
151,control,16120
152,control,23711
153,control,39403
154,control,38629
155,control,30069
156,control,42780
157,control,24820
158,control,24112
159,control,27803
16,control,36978
160,control,29541
161,control,26795
162,control,51639
163,control,35078
164,control,24703
165,control,29072
166,control,20423
167,control,35805
168,control,33043
169,control,35222
17,control,23069
170,control,39352
171,control,35248
172,control,32962
173,control,27181
174,control,23800
175,control,24544
176,control,27115
177,control,17909
178,control,29012
179,control,45613
18,control,20568
180,control,34708
181,control,26366
182,control,28777
183,control,33966
184,control,17477
185,control,29759
186,control,39858
187,control,35260
188,control,19327
189,control,29918
19,control,14693
190,control,18639
191,control,18782
192,control,68752
193,control,30264
194,control,19140
195,control,33033
196,control,27849
197,control,22184
198,control,31674
199,control,23014
2,control,22911
20,control,19716
200,control,39614
21,control,37498
22,control,20687
23,control,33592
24,control,27689
25,control,16025
26,control,24038
27,control,31571
28,control,30575
29,control,33984
3,control,25615
30,control,29280
31,control,31252
32,control,24972
33,control,30912
34,control,59044
35,control,26967
36,control,38469
37,control,16414
38,control,18795
39,control,32684
4,control,36976
40,control,11657
41,control,41179
42,control,22314
43,control,30595
44,control,28092
45,control,28100
46,control,40460
47,control,26129
48,control,28787
49,control,33529
5,control,30370
50,control,38267
51,control,44110
52,control,24793
53,control,34521
54,control,30676
55,control,23307
56,control,37684
57,control,30345
58,control,18379
59,control,30950
6,control,30757
60,control,34224
61,control,23916
62,control,28313
63,control,23252
64,control,29586
65,control,32049
66,control,23891
67,control,46282
68,control,31423
69,control,42163
7,control,32750
70,control,32667
71,control,29472
72,control,29172
73,control,36598
74,control,21130
75,control,38026
76,control,44138
77,control,39467
78,control,39867
79,control,25493
8,control,33420
80,control,29657
81,control,34022
82,control,26394
83,control,58332
84,control,10295
85,control,38440
86,control,45418
87,control,29786
88,control,12072
89,control,22603
9,control,29296
90,control,24097
91,control,39388
92,control,20356
93,control,24108
94,control,24031
95,control,25452
96,control,34094
97,control,30880
98,control,31100
99,control,26323
1,intervention,29410
10,intervention,32790
100,intervention,53591
101,intervention,20741
102,intervention,27130
103,intervention,22314
104,intervention,29944
105,intervention,21974
106,intervention,32638
107,intervention,15355
108,intervention,23782
109,intervention,29054
11,intervention,24708
110,intervention,19515
111,intervention,33742
112,intervention,24752
113,intervention,34601
114,intervention,41610
115,intervention,28059
116,intervention,17568
117,intervention,48936
118,intervention,67287
119,intervention,24438
12,intervention,32638
120,intervention,29780
121,intervention,18936
122,intervention,19021
123,intervention,29198
124,intervention,25719
125,intervention,17902
126,intervention,22955
127,intervention,18946
128,intervention,24530
129,intervention,23125
13,intervention,39800
130,intervention,22247
131,intervention,42508
132,intervention,32159
133,intervention,31135
134,intervention,35800
135,intervention,20419
136,intervention,30800
137,intervention,61273
138,intervention,30673
139,intervention,23803
14,intervention,26383
140,intervention,35613
141,intervention,26739
142,intervention,29738
143,intervention,24572
144,intervention,16191
145,intervention,32207
146,intervention,22562
147,intervention,51581
148,intervention,22608
149,intervention,24702
15,intervention,17329
150,intervention,18426
151,intervention,32076
152,intervention,27926
153,intervention,56875
154,intervention,29031
155,intervention,15902
156,intervention,55869
157,intervention,39087
158,intervention,27614
159,intervention,29930
16,intervention,34673
160,intervention,30663
161,intervention,52618
162,intervention,38142
163,intervention,42597
164,intervention,17525
165,intervention,20943
166,intervention,24409
167,intervention,16101
168,intervention,30020
169,intervention,28641
17,intervention,14899
170,intervention,31483
171,intervention,33313
172,intervention,24018
173,intervention,20881
174,intervention,34602
175,intervention,37704
176,intervention,27429
177,intervention,41242
178,intervention,32403
179,intervention,19899
18,intervention,24642
180,intervention,29565
181,intervention,20213
182,intervention,24063
183,intervention,29659
184,intervention,25961
185,intervention,24585
186,intervention,35045
187,intervention,28087
188,intervention,14663
189,intervention,38044
19,intervention,13568
190,intervention,22224
191,intervention,38889
192,intervention,32952
193,intervention,35486
194,intervention,37802
195,intervention,30707
196,intervention,39074
197,intervention,30902
198,intervention,26128
199,intervention,33348
2,intervention,26985
20,intervention,18597
200,intervention,22829
21,intervention,20287
22,intervention,25578
23,intervention,36327
24,intervention,23265
25,intervention,27550
26,intervention,34467
27,intervention,38011
28,intervention,27771
29,intervention,26799
3,intervention,33677
30,intervention,18053
31,intervention,30914
32,intervention,41647
33,intervention,18659
34,intervention,34877
35,intervention,21792
36,intervention,17959
37,intervention,30628
38,intervention,39085
39,intervention,25228
4,intervention,23709
40,intervention,29531
41,intervention,42475
42,intervention,35636
43,intervention,32455
44,intervention,54224
45,intervention,22560
46,intervention,32651
47,intervention,40854
48,intervention,22602
49,intervention,22746
5,intervention,32946
50,intervention,27885
51,intervention,48924
52,intervention,33904
53,intervention,27376
54,intervention,38564
55,intervention,36892
56,intervention,18043
57,intervention,26555
58,intervention,33063
59,intervention,38571
6,intervention,26690
60,intervention,48374
61,intervention,25219
62,intervention,17645
63,intervention,26811
64,intervention,33079
65,intervention,22507
66,intervention,36078
67,intervention,41997
68,intervention,17239
69,intervention,21102
7,intervention,30924
70,intervention,23550
71,intervention,18459
72,intervention,25663
73,intervention,26728
74,intervention,25853
75,intervention,40931
76,intervention,34721
77,intervention,41996
78,intervention,37456
79,intervention,23208
8,intervention,32700
80,intervention,34501
81,intervention,26351
82,intervention,34703
83,intervention,24207
84,intervention,36423
85,intervention,43189
86,intervention,43645
87,intervention,26195
88,intervention,23080
89,intervention,18018
9,intervention,30139
90,intervention,38923
91,intervention,32030
92,intervention,29620
