Time,Seed,Model,Value
0,1,control,21845
3,1,control,21725
6,1,control,21867
9,1,control,21924
12,1,control,21857
15,1,control,21532
18,1,control,21891
21,1,control,21824
24,1,control,21945
27,1,control,22008
30,1,control,21925
33,1,control,22071
36,1,control,22148
39,1,control,21671
42,1,control,21795
45,1,control,21618
48,1,control,21843
0,10,control,38064
3,10,control,37860
6,10,control,37905
9,10,control,37517
12,10,control,37681
15,10,control,38132
18,10,control,37917
21,10,control,38093
24,10,control,37912
27,10,control,37979
30,10,control,38111
33,10,control,37861
36,10,control,37992
39,10,control,38221
42,10,control,37849
45,10,control,38231
48,10,control,37896
0,100,control,51947
3,100,control,51650
6,100,control,51609
9,100,control,51961
12,100,control,51904
15,100,control,51417
18,100,control,51397
21,100,control,51548
24,100,control,51459
27,100,control,51570
30,100,control,51339
33,100,control,52014
36,100,control,51637
39,100,control,51497
42,100,control,51671
45,100,control,51406
48,100,control,51412
0,101,control,71886
3,101,control,70851
6,101,control,71158
9,101,control,71908
12,101,control,71431
15,101,control,71901
18,101,control,71544
21,101,control,71256
24,101,control,71295
27,101,control,71452
30,101,control,71915
33,101,control,71664
36,101,control,71508
39,101,control,71562
42,101,control,71469
45,101,control,71621
48,101,control,71447
0,102,control,58535
3,102,control,58868
6,102,control,58039
9,102,control,59006
12,102,control,58412
15,102,control,58592
18,102,control,58858
21,102,control,58883
24,102,control,58938
27,102,control,58625
30,102,control,59010
33,102,control,59241
36,102,control,59105
39,102,control,58964
42,102,control,58607
45,102,control,58666
48,102,control,59377
0,103,control,62403
3,103,control,62406
6,103,control,62393
9,103,control,61884
12,103,control,62506
15,103,control,62938
18,103,control,62066
21,103,control,62290
24,103,control,62503
27,103,control,62132
30,103,control,62207
33,103,control,62373
36,103,control,62215
39,103,control,62581
42,103,control,62639
45,103,control,62412
48,103,control,62321
0,104,control,57850
3,104,control,57801
6,104,control,57476
9,104,control,57923
12,104,control,57944
15,104,control,57475
18,104,control,57515
21,104,control,57064
24,104,control,57701
27,104,control,58028
30,104,control,56946
33,104,control,57814
36,104,control,57444
39,104,control,57938
42,104,control,57136
45,104,control,57423
48,104,control,57434
0,105,control,33387
3,105,control,33118
6,105,control,33268
9,105,control,33290
12,105,control,33598
15,105,control,33051
18,105,control,33255
21,105,control,33249
24,105,control,33515
27,105,control,33107
30,105,control,32914
33,105,control,33105
36,105,control,33031
39,105,control,33264
42,105,control,32968
45,105,control,33377
48,105,control,33569
0,106,control,32715
3,106,control,32594
6,106,control,32350
9,106,control,32466
12,106,control,32422
15,106,control,32036
18,106,control,31849
21,106,control,32366
24,106,control,32382
27,106,control,32146
30,106,control,32631
33,106,control,32168
36,106,control,32436
39,106,control,32402
42,106,control,32169
45,106,control,32471
48,106,control,32286
0,107,control,89595
3,107,control,88975
6,107,control,88861
9,107,control,88552
12,107,control,89508
15,107,control,89505
18,107,control,88400
21,107,control,89184
24,107,control,89530
27,107,control,89482
30,107,control,89208
33,107,control,89543
36,107,control,89390
39,107,control,88665
42,107,control,89328
45,107,control,89547
48,107,control,89551
0,108,control,41745
3,108,control,41847
6,108,control,41714
9,108,control,41455
12,108,control,41757
15,108,control,41617
18,108,control,41578
21,108,control,42068
24,108,control,41838
27,108,control,42194
30,108,control,42349
