Time,Seed,Model,Value
0,1,control,2.7105959595959e-4
3,1,control,2.6869161616161e-4
6,1,control,2.710608080808e-4
9,1,control,2.7138414141413e-4
12,1,control,2.7048696969696e-4
15,1,control,2.6962161616161e-4
18,1,control,2.6965363636363e-4
21,1,control,2.6709353535353e-4
24,1,control,2.7043909090908e-4
27,1,control,2.7046131313131e-4
30,1,control,2.6990929292928e-4
33,1,control,2.7047797979797e-4
36,1,control,2.6880828282827e-4
39,1,control,2.70051010101e-4
42,1,control,2.6982555555555e-4
45,1,control,2.7161131313131e-4
48,1,control,2.690503030303e-4
0,10,control,3.6967464646464e-4
3,10,control,3.6967797979797e-4
6,10,control,3.7134373737373e-4
9,10,control,3.6833616161615e-4
12,10,control,3.7000878787878e-4
15,10,control,3.6926030303029e-4
18,10,control,3.69561010101e-4
21,10,control,3.7390424242423e-4
24,10,control,3.6979414141413e-4
27,10,control,3.6998161616161e-4
30,10,control,3.6779484848484e-4
33,10,control,3.7132262626262e-4
36,10,control,3.7145272727272e-4
39,10,control,3.7014868686868e-4
42,10,control,3.7014616161615e-4
45,10,control,3.7244858585858e-4
48,10,control,3.717309090909e-4
0,100,control,2.3238959595959e-4
3,100,control,2.3238818181817e-4
6,100,control,2.2978131313131e-4
9,100,control,2.2947252525252e-4
12,100,control,2.3079767676767e-4
15,100,control,2.2961404040403e-4
18,100,control,2.3000151515151e-4
21,100,control,2.3137717171716e-4
24,100,control,2.3162898989898e-4
27,100,control,2.305106060606e-4
30,100,control,2.3142555555555e-4
33,100,control,2.3039252525252e-4
36,100,control,2.3124989898989e-4
39,100,control,2.3315010101009e-4
42,100,control,2.3113646464646e-4
45,100,control,2.3102808080807e-4
48,100,control,2.3058414141413e-4
0,101,control,0.00135796515151509
3,101,control,0.00136034242424237
6,101,control,0.00135828101010095
9,101,control,0.00135939303030298
12,101,control,0.00136255585858581
15,101,control,0.00136646989898984
18,101,control,0.00136247454545449
21,101,control,0.00135859010101005
24,101,control,0.001359675050505
27,101,control,0.00136144545454541
30,101,control,0.00136510777777773
33,101,control,0.00135897767676763
36,101,control,0.00136530858585853
39,101,control,0.00136111686868682
42,101,control,0.00136850696969691
45,101,control,0.00136389808080803
48,101,control,0.00136273454545448
0,102,control,3.369208080808e-4
3,102,control,3.3600535353534e-4
6,102,control,3.3648797979797e-4
9,102,control,3.3711353535353e-4
12,102,control,3.3633757575757e-4
15,102,control,3.3658848484848e-4
18,102,control,3.380309090909e-4
21,102,control,3.3805757575757e-4
24,102,control,3.3579898989898e-4
27,102,control,3.3717242424242e-4
30,102,control,3.3802444444444e-4
33,102,control,3.3567686868686e-4
36,102,control,3.363607070707e-4
39,102,control,3.351211111111e-4
42,102,control,3.328709090909e-4
45,102,control,3.351904040404e-4
48,102,control,3.347706060606e-4
0,103,control,4.8870636363635e-4
3,103,control,4.8822868686867e-4
6,103,control,4.913709090909e-4
9,103,control,4.8895919191918e-4
12,103,control,4.9307848484847e-4
15,103,control,4.881805050505e-4
18,103,control,4.9193676767676e-4
21,103,control,4.9008595959595e-4
24,103,control,4.9003222222221e-4
27,103,control,4.9156656565655e-4
30,103,control,4.891407070707e-4
33,103,control,4.9189838383837e-4
36,103,control,4.8989979797979e-4
39,103,control,4.9011575757575e-4
42,103,control,4.8844777777777e-4
45,103,control,4.8824898989898e-4
