Time,Seed,Model,Value
0,1,control,48861
3,1,control,48824
6,1,control,49170
9,1,control,49440
12,1,control,49256
15,1,control,48798
18,1,control,48986
21,1,control,48579
24,1,control,49191
27,1,control,48824
30,1,control,49267
33,1,control,48943
36,1,control,49260
39,1,control,48851
42,1,control,48627
45,1,control,48864
48,1,control,49187
0,10,control,49440
3,10,control,49302
6,10,control,49354
9,10,control,49009
12,10,control,49082
15,10,control,48957
18,10,control,48587
21,10,control,48870
24,10,control,49342
27,10,control,48781
30,10,control,48592
33,10,control,48769
36,10,control,49377
39,10,control,48618
42,10,control,49495
45,10,control,48744
48,10,control,48761
0,100,control,48097
3,100,control,47950
6,100,control,47869
9,100,control,47928
12,100,control,47927
15,100,control,47747
18,100,control,47921
21,100,control,48181
24,100,control,48393
27,100,control,48205
30,100,control,48289
33,100,control,48346
36,100,control,48322
39,100,control,48257
42,100,control,48171
45,100,control,48329
48,100,control,48258
0,101,control,47536
3,101,control,47221
6,101,control,47182
9,101,control,47855
12,101,control,47446
15,101,control,47259
18,101,control,47661
21,101,control,47610
24,101,control,47295
27,101,control,46957
30,101,control,47485
33,101,control,47418
36,101,control,47235
39,101,control,47076
42,101,control,46857
45,101,control,47643
48,101,control,47145
0,102,control,48631
3,102,control,47996
6,102,control,48096
9,102,control,48229
12,102,control,48657
15,102,control,48353
18,102,control,48630
21,102,control,48511
24,102,control,48836
27,102,control,48310
30,102,control,47956
33,102,control,48406
36,102,control,48318
39,102,control,48584
42,102,control,48404
45,102,control,48081
48,102,control,48440
0,103,control,49327
3,103,control,48777
6,103,control,48888
9,103,control,48799
12,103,control,49068
15,103,control,49069
18,103,control,48653
21,103,control,48890
24,103,control,49113
27,103,control,48488
30,103,control,48933
33,103,control,48772
36,103,control,49518
39,103,control,48725
42,103,control,49084
45,103,control,48910
48,103,control,48669
0,104,control,47985
3,104,control,47965
6,104,control,48190
9,104,control,48295
12,104,control,47987
15,104,control,48186
18,104,control,47845
21,104,control,48241
24,104,control,48173
27,104,control,47898
30,104,control,48203
33,104,control,48888
36,104,control,48431
39,104,control,48233
42,104,control,48028
45,104,control,47866
48,104,control,48735
0,105,control,49497
3,105,control,49439
6,105,control,49486
9,105,control,49846
12,105,control,49383
15,105,control,49576
18,105,control,49851
21,105,control,49704
24,105,control,50026
27,105,control,49782
30,105,control,49701
33,105,control,49598
36,105,control,49469
39,105,control,49696
42,105,control,49299
45,105,control,49578
48,105,control,49703
0,106,control,49191
3,106,control,49224
6,106,control,49180
9,106,control,48952
12,106,control,49025
15,106,control,49107
18,106,control,48440
21,106,control,48863
24,106,control,48902
27,106,control,48915
30,106,control,49478
33,106,control,48934
36,106,control,48296
39,106,control,48617
42,106,control,48854
45,106,control,48824
48,106,control,49235
0,107,control,49673
3,107,control,49396
6,107,control,49045
9,107,control,48757
12,107,control,49597
15,107,control,49864
18,107,control,49410
21,107,control,49345
24,107,control,49217
27,107,control,49310
30,107,control,49048
33,107,control,49579
36,107,control,49740
39,107,control,49484
42,107,control,49182
45,107,control,49638
48,107,control,49188
0,108,control,48670
3,108,control,48318
6,108,control,48051
9,108,control,48884
12,108,control,48894
15,108,control,48165
18,108,control,48141
21,108,control,48458
24,108,control,48088
27,108,control,47904
30,108,control,48376
33,108,control,48282
36,108,control,48571
39,108,control,48392
42,108,control,48264
45,108,control,48410
48,108,control,48244
0,109,control,47410
3,109,control,47669
6,109,control,47128
9,109,control,47271
12,109,control,47876
15,109,control,47549
18,109,control,47661
21,109,control,47665
24,109,control,47452
27,109,control,47371
30,109,control,47449
33,109,control,47883
36,109,control,47567
39,109,control,47860
42,109,control,47634
45,109,control,47459
48,109,control,47420
0,11,control,48381
3,11,control,48219
6,11,control,48632
9,11,control,48428
12,11,control,48368
15,11,control,48630
18,11,control,48112
21,11,control,48481
24,11,control,48379
27,11,control,48070
30,11,control,48262
33,11,control,48128
36,11,control,48419
39,11,control,48649
42,11,control,48029
45,11,control,48494
48,11,control,48025
0,110,control,48475
3,110,control,47563
6,110,control,48010
9,110,control,48342
12,110,control,48253
15,110,control,48185
18,110,control,47787
21,110,control,47876
24,110,control,48738
27,110,control,47947
30,110,control,47925
33,110,control,47868
36,110,control,48138
39,110,control,48278
42,110,control,47866
45,110,control,48245
48,110,control,47905
0,111,control,49436
3,111,control,49225
6,111,control,48833
9,111,control,49017
12,111,control,48710
15,111,control,48674
18,111,control,48630
21,111,control,48904
24,111,control,48792
27,111,control,49038
30,111,control,49099
33,111,control,49073
36,111,control,48976
39,111,control,48763
42,111,control,48607
45,111,control,48525
48,111,control,48923
0,112,control,48861
3,112,control,48570
6,112,control,49059
9,112,control,49137
12,112,control,49495
15,112,control,49075
18,112,control,49020
21,112,control,48862
24,112,control,49070
27,112,control,49514
30,112,control,48449
33,112,control,48880
36,112,control,48958
39,112,control,48432
42,112,control,48898
45,112,control,49444
48,112,control,49139
0,113,control,48582
3,113,control,47795
6,113,control,48471
9,113,control,48386
12,113,control,48660
15,113,control,48657
18,113,control,48635
21,113,control,48874
24,113,control,48634
27,113,control,48394
30,113,control,48378
33,113,control,48108
36,113,control,48452
39,113,control,48498
42,113,control,48260
45,113,control,48352
48,113,control,48004
0,114,control,48536
3,114,control,48575
6,114,control,48666
9,114,control,48738
12,114,control,48463
15,114,control,48571
18,114,control,48295
21,114,control,49110
24,114,control,48633
27,114,control,48203
30,114,control,48689
33,114,control,48817
36,114,control,48480
39,114,control,48664
42,114,control,48494
45,114,control,48327
48,114,control,48797
0,115,control,48153
3,115,control,48285
6,115,control,47469
9,115,control,47932
12,115,control,48251
15,115,control,48352
18,115,control,47658
21,115,control,47701
24,115,control,47961
27,115,control,48299
30,115,control,47862
33,115,control,48075
36,115,control,48360
39,115,control,47657
42,115,control,47533
45,115,control,48308
48,115,control,48128
0,116,control,48778
3,116,control,48305
6,116,control,47637
9,116,control,48508
12,116,control,48563
15,116,control,48404
18,116,control,48241
21,116,control,48485
24,116,control,48319
27,116,control,47958
30,116,control,48514
33,116,control,48341
36,116,control,48437
39,116,control,48112
42,116,control,48526
45,116,control,47947
48,116,control,48296
0,117,control,48082
3,117,control,48170
6,117,control,47978
9,117,control,48313
12,117,control,48677
15,117,control,48234
18,117,control,48038
21,117,control,48610
24,117,control,48327
27,117,control,48150
30,117,control,48334
33,117,control,48169
36,117,control,48287
39,117,control,48242
42,117,control,48230
45,117,control,48215
48,117,control,48162
0,118,control,48616
3,118,control,48810
6,118,control,48948
9,118,control,48460
12,118,control,49223
15,118,control,48766
18,118,control,48288
21,118,control,48675
24,118,control,48964
27,118,control,48808
30,118,control,48794
33,118,control,48778
36,118,control,48724
39,118,control,48766
42,118,control,48972
45,118,control,49086
48,118,control,49035
0,119,control,48368
3,119,control,48409
6,119,control,48464
9,119,control,48296
12,119,control,48428
15,119,control,48525
18,119,control,48044
21,119,control,48469
24,119,control,48163
27,119,control,48158
30,119,control,48584
33,119,control,48270
36,119,control,48406
39,119,control,48250
42,119,control,48279
45,119,control,48139
48,119,control,48333
0,12,control,48623
3,12,control,48865
6,12,control,48425
9,12,control,48955
12,12,control,48723
15,12,control,48537
18,12,control,48454
21,12,control,48621
24,12,control,48431
27,12,control,48651
30,12,control,48412
33,12,control,48691
36,12,control,48630
39,12,control,48581
42,12,control,48782
45,12,control,48780
48,12,control,49042
0,120,control,48791
3,120,control,48911
6,120,control,48618
9,120,control,48754
12,120,control,48983
15,120,control,48504
18,120,control,49281
21,120,control,48842
24,120,control,49010
27,120,control,48377
30,120,control,48657
33,120,control,48885
36,120,control,49050
39,120,control,48609
42,120,control,48752
45,120,control,48697
48,120,control,48590
0,121,control,48419
3,121,control,48351
6,121,control,48342
9,121,control,48444
12,121,control,48470
15,121,control,48053
18,121,control,48172
21,121,control,47888
24,121,control,48399
27,121,control,48320
30,121,control,48132
33,121,control,48775
36,121,control,48160
39,121,control,48517
42,121,control,48504
45,121,control,48607
48,121,control,48442
0,122,control,48660
3,122,control,48844
6,122,control,48879
9,122,control,48581
12,122,control,48414
15,122,control,48699
18,122,control,48582
21,122,control,48723
24,122,control,48580
27,122,control,48745
30,122,control,49158
33,122,control,48646
36,122,control,48794
39,122,control,48435
42,122,control,48400
45,122,control,48988
48,122,control,48999
0,123,control,49306
3,123,control,49006
6,123,control,49162
9,123,control,49427
12,123,control,49267
15,123,control,49122
18,123,control,49417
21,123,control,49258
24,123,control,49586
27,123,control,49123
30,123,control,48950
33,123,control,48774
36,123,control,49341
39,123,control,49080
42,123,control,48507
45,123,control,49038
48,123,control,49666
0,124,control,48336
3,124,control,48834
6,124,control,48369
9,124,control,48628
12,124,control,48494
15,124,control,48221
18,124,control,47933
21,124,control,48508
24,124,control,48795
27,124,control,48303
30,124,control,48273
33,124,control,48285
36,124,control,48531
39,124,control,47963
42,124,control,48191
45,124,control,48492
48,124,control,48715
0,125,control,48604
3,125,control,48448
6,125,control,48930
9,125,control,48884
12,125,control,48702
15,125,control,48954
18,125,control,48766
21,125,control,48768
24,125,control,48403
27,125,control,48427
30,125,control,48945
33,125,control,48555
36,125,control,49002
39,125,control,48271
42,125,control,48984
45,125,control,48896
48,125,control,48827
0,126,control,48610
3,126,control,48535
6,126,control,48493
9,126,control,48696
12,126,control,48704
15,126,control,48306
18,126,control,48153
21,126,control,48759
24,126,control,48757
27,126,control,48683
30,126,control,48555
33,126,control,48382
36,126,control,48192
39,126,control,48689
42,126,control,48327
45,126,control,48191
48,126,control,48886
0,127,control,48434
3,127,control,48382
6,127,control,48529
9,127,control,48604
12,127,control,48214
15,127,control,47608
18,127,control,48215
21,127,control,48158
24,127,control,48224
27,127,control,48148
30,127,control,48321
33,127,control,47770
36,127,control,47986
39,127,control,48244
42,127,control,48513
45,127,control,48012
48,127,control,48285
0,128,control,48744
3,128,control,48467
6,128,control,48805
9,128,control,48825
12,128,control,48541
15,128,control,48815
18,128,control,48442
21,128,control,48718
24,128,control,49093
27,128,control,49046
30,128,control,48913
33,128,control,49121
36,128,control,48818
39,128,control,49340
42,128,control,48884
45,128,control,48983
48,128,control,48947
0,129,control,48954
3,129,control,48316
6,129,control,48446
9,129,control,48114
12,129,control,48643
15,129,control,48357
18,129,control,48586
21,129,control,48659
24,129,control,48517
27,129,control,48194
30,129,control,48209
33,129,control,48313
36,129,control,48602
39,129,control,48473
42,129,control,48433
45,129,control,48463
48,129,control,48962
0,13,control,48659
3,13,control,48403
6,13,control,48811
9,13,control,48449
12,13,control,48508
15,13,control,48574
18,13,control,48549
21,13,control,48900
24,13,control,48863
27,13,control,48683
30,13,control,48813
33,13,control,48172
36,13,control,48989
39,13,control,48694
42,13,control,48559
45,13,control,48792
48,13,control,48935
0,130,control,48327
3,130,control,48500
6,130,control,48247
9,130,control,48511
12,130,control,48377
15,130,control,48579
18,130,control,48022
21,130,control,48705
24,130,control,48387
27,130,control,48338
30,130,control,47957
33,130,control,48706
36,130,control,47974
39,130,control,48178
42,130,control,47941
45,130,control,47926
48,130,control,47950
0,131,control,48796
3,131,control,49214
6,131,control,48805
9,131,control,48479
12,131,control,48663
15,131,control,48672
18,131,control,48680
21,131,control,48853
24,131,control,48509
27,131,control,47592
30,131,control,48193
33,131,control,48614
36,131,control,49174
39,131,control,48495
42,131,control,48505
45,131,control,48517
48,131,control,48851
0,132,control,49017
3,132,control,48312
6,132,control,48434
9,132,control,48622
12,132,control,48632
15,132,control,48412
18,132,control,48272
21,132,control,48861
24,132,control,48643
27,132,control,48582
30,132,control,48448
33,132,control,48694
36,132,control,48635
39,132,control,48724
42,132,control,48906
45,132,control,48858
48,132,control,48904
0,133,control,48455
3,133,control,48595
6,133,control,48434
9,133,control,48409
12,133,control,48495
15,133,control,48087
18,133,control,48418
21,133,control,47966
24,133,control,48576
27,133,control,48488
30,133,control,48314
33,133,control,48446
36,133,control,48251
39,133,control,48710
42,133,control,48546
45,133,control,48738
48,133,control,48290
0,134,control,49333
3,134,control,48974
6,134,control,49073
9,134,control,49549
12,134,control,49001
15,134,control,48931
18,134,control,49319
21,134,control,49465
24,134,control,49161
27,134,control,48918
30,134,control,49232
33,134,control,49713
36,134,control,49083
39,134,control,49256
42,134,control,48995
45,134,control,49647
48,134,control,49313
0,135,control,49059
3,135,control,48541
6,135,control,48831
9,135,control,48971
12,135,control,49172
15,135,control,49245
18,135,control,49164
21,135,control,49066
24,135,control,49271
27,135,control,48844
30,135,control,49123
33,135,control,49224
36,135,control,48949
39,135,control,48658
42,135,control,49327
45,135,control,49231
48,135,control,48901
0,136,control,48803
3,136,control,48839
6,136,control,48728
9,136,control,48783
12,136,control,49113
15,136,control,48850
18,136,control,49026
21,136,control,48679
24,136,control,48689
27,136,control,48835
30,136,control,48702
33,136,control,48999
36,136,control,48369
39,136,control,48323
42,136,control,48660
45,136,control,48996
48,136,control,49014
0,137,control,48514
3,137,control,48170
6,137,control,48228
9,137,control,48938
12,137,control,48256
15,137,control,48504
18,137,control,48626
21,137,control,48446
24,137,control,48660
27,137,control,48438
30,137,control,48528
33,137,control,48124
36,137,control,48503
39,137,control,48643
42,137,control,48296
45,137,control,48089
48,137,control,48507
0,138,control,48571
3,138,control,48491
6,138,control,48390
9,138,control,48884
12,138,control,48500
15,138,control,48529
18,138,control,48330
21,138,control,48702
24,138,control,48846
27,138,control,48456
30,138,control,48398
33,138,control,48573
36,138,control,48477
39,138,control,48381
42,138,control,48562
45,138,control,48655
48,138,control,48665
0,139,control,48090
3,139,control,48547
6,139,control,47796
9,139,control,48790
12,139,control,47988
15,139,control,48528
18,139,control,48481
21,139,control,48500
24,139,control,48784
27,139,control,48747
30,139,control,48085
33,139,control,47963
36,139,control,48167
39,139,control,48261
42,139,control,48196
45,139,control,48554
48,139,control,48233
0,14,control,48782
3,14,control,48901
6,14,control,49236
9,14,control,49060
12,14,control,49033
15,14,control,48713
18,14,control,48595
21,14,control,48752
24,14,control,49004
27,14,control,49102
30,14,control,48789
33,14,control,48863
36,14,control,49149
39,14,control,48833
42,14,control,48875
45,14,control,48933
48,14,control,48611
0,140,control,49759
3,140,control,49453
6,140,control,48944
9,140,control,48988
12,140,control,49498
15,140,control,49216
18,140,control,49446
21,140,control,48876
24,140,control,49917
27,140,control,48886
30,140,control,48736
33,140,control,49361
36,140,control,49506
39,140,control,48997
42,140,control,49154
45,140,control,49342
48,140,control,49212
0,141,control,48484
3,141,control,48343
6,141,control,48564
9,141,control,48547
12,141,control,48671
15,141,control,48657
18,141,control,49005
21,141,control,49044
24,141,control,48521
27,141,control,48316
30,141,control,48109
33,141,control,48581
36,141,control,48674
39,141,control,48653
42,141,control,48649
45,141,control,48472
48,141,control,48710
0,142,control,48659
3,142,control,48948
6,142,control,48724
9,142,control,48742
12,142,control,48969
15,142,control,48738
18,142,control,48794
21,142,control,49105
24,142,control,48985
27,142,control,48770
30,142,control,49203
33,142,control,49028
36,142,control,49425
39,142,control,48711
42,142,control,48734
45,142,control,48871
48,142,control,48831
0,143,control,48834
3,143,control,48444
6,143,control,48482
9,143,control,48445
12,143,control,49148
15,143,control,48647
18,143,control,48921
21,143,control,48925
24,143,control,49036
27,143,control,48807
30,143,control,48862
33,143,control,48951
36,143,control,48718
39,143,control,48668
42,143,control,48610
45,143,control,49170
48,143,control,48965
0,144,control,48655
3,144,control,48767
6,144,control,48956
9,144,control,48725
12,144,control,49140
15,144,control,48838
18,144,control,48218
21,144,control,49312
24,144,control,49179
27,144,control,48863
30,144,control,48440
33,144,control,48746
36,144,control,49069
39,144,control,48636
42,144,control,49147
45,144,control,48811
48,144,control,48959
0,145,control,49052
3,145,control,48496
6,145,control,48415
