Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
0,1494927,0.0212342547165444,0.01014187838882207,0.02925617160102625,0,0.5856934785842896,1,control
3,1479654,0.02132323121396419,0.01016408950090408,0.02936129239686786,0,0.568110466003418,1,control
6,1470196,0.02113112885411805,0.01014187838882207,0.02901888929044883,0,0.5424096584320068,1,control
9,1496094,0.02156280321547001,0.01029190607368946,0.0296739004539507,0,0.5424096584320068,1,control
12,1509318,0.02110378658424601,0.01010742131620645,0.02910076216184872,0,0.566896915435791,1,control
15,1457328,0.02115705727535018,0.01009513717144727,0.0290833273040689,0,0.6385349035263062,1,control
18,1498689,0.0215910905484271,0.01036267355084419,0.02965642497539659,0,0.514768123626709,1,control
21,1500960,0.02138046396776637,0.01019109971821308,0.02940557291052796,0,0.4748336672782898,1,control
24,1511379,0.02118449006996684,0.01010818034410476,0.02913781415388556,0,0.564775824546814,1,control
27,1491750,0.0212205239839945,0.01013870444148779,0.02913780221058125,0,0.6325857043266296,1,control
30,1471680,0.02173496622970751,0.01043082028627395,0.02992230408249837,0,0.6590422987937927,1,control
33,1525847,0.02102901736967231,0.01004409324377775,0.02898160280122407,0,0.566896915435791,1,control
36,1508248,0.02135787668068708,0.0102332467213273,0.02937142529913731,0,0.5511287450790405,1,control
39,1558065,0.0213602106196795,0.01024536695331335,0.02936761369539229,0,0.5078948736190796,1,control
42,1513940,0.02123546918912195,0.01016408950090408,0.02919739263957176,0,0.5569280982017517,1,control
45,1506662,0.02147560745310769,0.01029190607368946,0.02955757877331179,0,0.5113443732261658,1,control
48,1470660,0.02129959491011131,0.01019003521651029,0.02924525625429018,0,0.5856934785842896,1,control
0,4860324,0.02148751780782816,0.01029190607368946,0.02959943525380086,0,0.566896915435791,10,control
3,4944732,0.0213129945838769,0.0101961325854063,0.02933247229308085,0,0.5679451823234558,10,control
6,4960634,0.02129711048963886,0.01015836931765079,0.02934089406073059,0,0.7454280257225037,10,control
9,4921360,0.02130299041631003,0.01016408950090408,0.02933357071953285,0,0.6129453182220459,10,control
12,4950720,0.02129454160562615,0.01018039416521787,0.02928870025931962,0,0.6505263447761536,10,control
15,4969179,0.02128053202825386,0.01017892453819513,0.02935953102822655,0,1.0705785751342771,10,control
18,4982808,0.02133477190349271,0.01022556331008672,0.02932710534398403,0,0.6325857043266296,10,control
21,4875402,0.02120578239662503,0.01009745616465807,0.02925920396214622,0,0.7040218114852905,10,control
24,4898880,0.02126744767029259,0.01015910878777504,0.02929975481618679,0,0.5865814685821533,10,control
27,4874716,0.02135124547583605,0.01019003521651029,0.02941535429432586,0,0.6075363755226135,10,control
30,4905018,0.0212478911752328,0.01018474344164133,0.02921664401719994,0,0.527621328830719,10,control
33,4929288,0.02148714702861713,0.01029190607368946,0.02963630115981061,0,0.9342588186264038,10,control
36,4945538,0.02145922927924832,0.01022658869624137,0.02997041986919058,0,2.140716314315796,10,control
39,4986452,0.02122468897903323,0.01016042195260524,0.0292305389499728,0,0.6231305003166199,10,control
42,4915168,0.02149419147966359,0.01025302521884441,0.02973625261951916,0,0.9472997188568116,10,control
45,4895848,0.02134258065061003,0.01017883140593767,0.02943016615126004,0,1.1624232530593872,10,control
48,4951595,0.02117250476273724,0.01011834759265184,0.02914833153225135,0,0.6298815608024597,10,control
0,1131007,0.0215034870752504,0.0103092361241579,0.02957296338324637,0,0.6841755509376526,100,control
3,1126132,0.021238425989042,0.01012489944696426,0.02911423650760357,0,0.5679451823234558,100,control
6,1169262,0.0213126203652102,0.01021051127463579,0.02932163747493037,0,0.566896915435791,100,control
9,1160995,0.02152879086098128,0.01025842409580946,0.02975539515319126,0,0.6073858141899109,100,control
12,1133549,0.02110886630932221,0.01009745616465807,0.02899839109132108,0,0.4748336672782898,100,control
15,1113924,0.02116133384284516,0.01009949576109647,0.02906493515133386,0,0.5150874257087708,100,control
18,1141977,0.02137224800506237,0.01019109971821308,0.0295203200194311,0,0.5844102501869202,100,control
21,1138906,0.0215440935360387,0.01029415894299745,0.02958351629846434,0,0.566896915435791,100,control
24,1142838,0.02141063123168513,0.01022313255816698,0.02942508516143079,0,0.5418926477432251,100,control
27,1150845,0.0212136720707836,0.0101761408150196,0.02912586955812121,0,0.5447705984115601,100,control
30,1160250,0.02207092455868503,0.01055110618472099,0.03031278717290968,0,0.6841755509376526,100,control
33,1154784,0.02107760879865395,0.01009680330753326,0.02895642876397142,0,0.7543994188308716,100,control
36,1157551,0.02124933367789113,0.01014187838882207,0.02912767101823223,0,0.6129453182220459,100,control
39,1141350,0.02140573639145893,0.01024166215211153,0.02944108881249216,0,0.6767114400863647,100,control
42,1153900,0.02157614502849929,0.01035316754132509,0.02960792361993249,0,0.566896915435791,100,control
45,1127315,0.02135884710503294,0.0101961325854063,0.02943791921285233,0,0.540640115737915,100,control
48,1132654,0.02146424438258512,0.01022313255816698,0.02959953280188546,0,0.5795736312866211,100,control
0,1922382,0.02135648371995209,0.01015533600002527,0.02938970666405281,0,0.5866675972938538,101,control
3,1896113,0.02109196945630409,0.01009745616465807,0.02902778342072665,0,0.5744583010673523,101,control
6,1940253,0.02136306138657378,0.01027245819568634,0.0294590751206767,0,0.7106826901435852,101,control
9,1945829,0.02129038225851712,0.01018913742154836,0.02934668083754441,0,0.5334551334381104,101,control
12,1914016,0.02126240564490496,0.01016744971275329,0.0292339890604705,0,0.6841755509376526,101,control
15,2001741,0.02117655163829715,0.01018039416521787,0.0291262390685955,0,0.6013466715812683,101,control
18,1911234,0.0212024817655632,0.01009680330753326,0.02926717750206946,0,0.6841755509376526,101,control
21,1944498,0.02140665683525231,0.0103092361241579,0.02931892506623864,0,0.6841755509376526,101,control
24,1923625,0.0214723654266193,0.01027032081037759,0.02958092739906957,0,0.6841755509376526,101,control
27,1941822,0.02127891492942519,0.01019817870110273,0.02920297436693339,0,0.5856934785842896,101,control
30,1948752,0.02115483286254193,0.01009680330753326,0.02913236119534831,0,0.5120977163314819,101,control
33,1891910,0.02126494099692218,0.01016939245164394,0.02921349305460387,0,0.5424096584320068,101,control
36,1963930,0.02126691721485683,0.01017153263092041,0.02925078833870592,0,0.5073279142379761,101,control
39,1932096,0.02120403608685439,0.01015673950314521,0.02921203435596694,0,0.5866675972938538,101,control
42,1971212,0.02113476054759999,0.01009745616465807,0.02910280951936941,0,0.5382612347602844,101,control
45,1976640,0.02109549136577316,0.01007644645869731,0.02911931718240583,0,0.6841755509376526,101,control
48,1963962,0.0212144210652856,0.01014187838882207,0.02926813379832601,0,0.6538751125335693,101,control
0,5253239,0.0231723637898906,0.01023594196885824,0.1492984169064839,0,54.14537048339844,102,control
3,5188884,0.02139451974178596,0.01021727081388235,0.02962312965822584,0,1.1433144807815552,102,control
6,5150628,0.02128915993835711,0.01019003521651029,0.02938342480156904,0,0.6037775278091431,102,control
9,5245970,0.02209249363728402,0.01034922525286674,0.05269629797012509,0,14.19580364227295,102,control
12,5198336,0.02121316467295293,0.0101230964064598,0.02927278207688253,0,0.8132302165031433,102,control
15,5157416,0.02120214650444037,0.01009745616465807,0.02920477824500098,0,0.6129453182220459,102,control
18,5209674,0.02133746546038567,0.0101961325854063,0.02979987595959355,0,1.5945614576339722,102,control
21,5198391,0.02161415991150789,0.01025635842233896,0.03384946275453915,0,4.762754917144775,102,control
24,5145492,0.02152296600471471,0.01017491333186626,0.03335246149057266,0,5.151743412017822,102,control
27,5102960,0.0214080085301916,0.01022313255816698,0.0294950535313026,0,0.8268224000930786,102,control
30,5116448,0.02159588986419217,0.01021051127463579,0.03369584479167277,0,5.048401355743408,102,control
33,5213820,0.02148336009372333,0.0103092361241579,0.02956255318954671,0,0.6841755509376526,102,control
36,5260086,0.02135492936361421,0.01021746080368757,0.02962344385210264,0,1.54378080368042,102,control
39,5095964,0.02153066747912968,0.01030696090310812,0.02978205034767562,0,0.8785402178764343,102,control
42,5171027,0.02178123243168737,0.01040614768862724,0.03450731363070775,0,5.08521032333374,102,control
45,5154960,0.02137334468838909,0.01026951801031828,0.02949770234855486,0,0.646826446056366,102,control
48,5105334,0.02133187046852821,0.01015533600002527,0.03064615894802672,0,2.999742269515991,102,control
0,3381137,0.02137970065956635,0.01020378991961479,0.02939626843058722,0,0.6129453182220459,103,control
3,3436832,0.02157664233636167,0.01037935074418783,0.02969418720428686,0,0.5424026846885681,103,control
6,3391739,0.02175220976465365,0.01041232794523239,0.0299774522165689,0,0.6325857043266296,103,control
9,3401250,0.02166706299663789,0.01041577104479074,0.02984743225853577,0,0.6009652614593506,103,control
12,3386180,0.02131793557566916,0.01019817870110273,0.02941420901192037,0,0.7219303250312805,103,control
15,3359213,0.02117152284519427,0.01009745616465807,0.02914460475310159,0,0.7551798224449158,103,control
18,3342542,0.02163746213501274,0.01034765504300594,0.0297935189633332,0,0.6078379154205322,103,control
