Time,Seed,Model,Value
0,1,control,3065
3,1,control,3036
6,1,control,3012
9,1,control,3040
12,1,control,3082
15,1,control,3083
18,1,control,3028
21,1,control,3084
24,1,control,3100
27,1,control,3079
30,1,control,3001
33,1,control,3100
36,1,control,3041
39,1,control,3103
42,1,control,3084
45,1,control,3060
48,1,control,3016
0,10,control,5290
3,10,control,5272
6,10,control,5261
9,10,control,5292
12,10,control,5219
15,10,control,5242
18,10,control,5260
21,10,control,5270
24,10,control,5240
27,10,control,5255
30,10,control,5298
33,10,control,5269
36,10,control,5283
39,10,control,5253
42,10,control,5198
45,10,control,5230
48,10,control,5196
0,100,control,6165
3,100,control,6122
6,100,control,6126
9,100,control,6107
12,100,control,6112
15,100,control,6133
18,100,control,6111
21,100,control,6152
24,100,control,6210
27,100,control,6131
30,100,control,6093
33,100,control,6168
36,100,control,6171
39,100,control,6135
42,100,control,6133
45,100,control,6136
48,100,control,6112
0,101,control,9744
3,101,control,9652
6,101,control,9746
9,101,control,9721
12,101,control,9717
15,101,control,9619
18,101,control,9615
21,101,control,9717
24,101,control,9758
27,101,control,9648
30,101,control,9632
33,101,control,9596
36,101,control,9797
39,101,control,9703
42,101,control,9622
45,101,control,9694
48,101,control,9716
0,102,control,13910
3,102,control,13698
6,102,control,13770
9,102,control,13860
12,102,control,13891
15,102,control,13896
18,102,control,13811
21,102,control,13786
24,102,control,13808
27,102,control,13819
30,102,control,13780
33,102,control,13894
36,102,control,13918
39,102,control,13740
42,102,control,13785
45,102,control,13731
48,102,control,13821
0,103,control,6645
3,103,control,6578
6,103,control,6608
9,103,control,6593
12,103,control,6641
15,103,control,6654
18,103,control,6633
21,103,control,6575
24,103,control,6565
27,103,control,6597
30,103,control,6536
33,103,control,6507
36,103,control,6565
39,103,control,6628
42,103,control,6568
45,103,control,6571
48,103,control,6634
0,104,control,7997
3,104,control,7938
6,104,control,7925
9,104,control,7954
12,104,control,7960
15,104,control,7942
18,104,control,7935
21,104,control,7997
24,104,control,7901
27,104,control,7880
30,104,control,7960
33,104,control,7934
36,104,control,7995
39,104,control,7877
42,104,control,7900
45,104,control,7964
48,104,control,7827
0,105,control,6266
3,105,control,6222
6,105,control,6170
9,105,control,6270
12,105,control,6156
15,105,control,6168
18,105,control,6187
21,105,control,6149
24,105,control,6184
27,105,control,6194
30,105,control,6113
33,105,control,6229
36,105,control,6209
39,105,control,6152
42,105,control,6210
45,105,control,6204
48,105,control,6181
0,106,control,2910
3,106,control,2908
6,106,control,2900
