Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
0,2622360,0.02126778329730503,0.01015533600002527,0.02924121261143533,0,0.8705917000770569,1,control
3,2554272,0.02140315267465642,0.01020899228751659,0.02947230160952167,0,0.6841755509376526,1,control
6,2628882,0.02130848422303128,0.0101961325854063,0.0294023437767118,0,0.5744583010673523,1,control
9,2645833,0.02137796442723817,0.01022313255816698,0.02954621021749031,0,0.777748167514801,1,control
12,2527259,0.02138025932666227,0.01021586917340755,0.0294162234608851,0,0.6490405201911926,1,control
15,2600544,0.02135703583742666,0.01019817870110273,0.029365574041333,0,0.566896915435791,1,control
18,2570706,0.02140279400032163,0.01024166215211153,0.02952555802225779,0,0.9238868951797484,1,control
21,2580192,0.02156835402737498,0.01034712325781583,0.02988588109199485,0,0.6841755509376526,1,control
24,2630208,0.02117969286099932,0.01010435260832309,0.02917528376903967,0,0.6276837587356567,1,control
27,2571372,0.02146329194787561,0.01027695089578628,0.02952877424436036,0,0.7119668126106262,1,control
30,2602122,0.02145018643621164,0.01025842409580946,0.02956887834848589,0,0.6325857043266296,1,control
33,2567194,0.0213204927526731,0.01018913742154836,0.02932537124708819,0,0.6841755509376526,1,control
36,2530840,0.02122394760694717,0.01014187838882207,0.02923130604802843,0,0.6129453182220459,1,control
39,2567400,0.02132897692765849,0.01020652055740356,0.02932638102527712,0,0.587040364742279,1,control
42,2545278,0.02161391051964758,0.01030264981091022,0.02972896660482429,0,0.5861449837684631,1,control
45,2617472,0.02149432065408042,0.01029190607368946,0.02956479614358445,0,0.6633915305137634,1,control
48,2553204,0.02144486543227101,0.0102511029690504,0.02962049744785156,0,0.9142422080039978,1,control
0,2405962,0.02204874925781929,0.01009745616465807,0.06952788275825708,0,18.18995475769043,10,control
3,2405962,0.02136615901158153,0.01021746080368757,0.02976286042024649,0,1.6203908920288086,10,control
6,2433344,0.02531487879724479,0.01018799655139446,0.25142277439512184,0,64.68321228027344,10,control
9,2458095,0.02133421462264436,0.01019329857081174,0.02933948803641588,0,0.8999226689338684,10,control
12,2428370,0.02128288628450292,0.01013091392815113,0.02931016439650966,0,0.5482248663902283,10,control
15,2406600,0.0211502436130193,0.01009854767471551,0.02913759127670497,0,0.7645635604858398,10,control
18,2394574,0.02123849602093694,0.01014187838882207,0.02921201629503516,0,0.7185940742492676,10,control
21,2414387,0.02137689559035449,0.01018039416521787,0.02964756821848604,0,1.075125813484192,10,control
24,2440650,0.02117596322254669,0.01009680330753326,0.0293944771778789,0,1.5475265979766846,10,control
27,2429581,0.022529002312563,0.01022406760603189,0.08198203333386828,0,19.780031204223633,10,control
30,2463531,0.02135029654055058,0.01019916590303182,0.02938617853597834,0,0.6287680268287659,10,control
33,2383740,0.02102505385036374,0.01005322579294443,0.02894547607011088,0,0.6230547428131104,10,control
36,2440756,0.02161290340500026,0.01015603635460138,0.03766828112686626,0,10.612229347229004,10,control
39,2533503,0.02136896811356624,0.01021809969097375,0.02949021301738289,0,0.5928049683570862,10,control
42,2405892,0.02121047417593622,0.01009745616465807,0.02920214382123764,0,0.5784626603126526,10,control
45,2448325,0.02123911585054331,0.01012543495744466,0.02923416198350611,0,0.8668292760848999,10,control
48,2437862,0.02131007909258885,0.01014187838882207,0.02937527136879435,0,1.0986640453338623,10,control
0,2256800,0.02241186830368108,0.01010505203157663,0.08739158650166848,0,21.456457138061523,100,control
3,2242980,0.02121184710548935,0.01013121847063303,0.02922808765635691,0,0.5813720226287842,100,control
6,2225394,0.02121187315140184,0.01009082794189453,0.02942120597129478,0,0.8492087125778198,100,control
9,2290080,0.02144108473971527,0.01019817870110273,0.03046479953095025,0,1.992938995361328,100,control
12,2220888,0.02136268549242689,0.0101640960201621,0.02943482391563807,0,0.6444736123085022,100,control
15,2330048,0.02135059508433911,0.01022786926478147,0.02941108917628791,0,0.5744583010673523,100,control
18,2232048,0.02155430069031883,0.0103092361241579,0.02972698392187042,0,0.6320664882659912,100,control
21,2265270,0.02127897845936371,0.01014972385019064,0.02935965262267141,0,0.6640180945396423,100,control
24,2227753,0.02136223116472721,0.01024536695331335,0.02930503228388962,0,0.49621522426605225,100,control
27,2281600,0.02121043459178537,0.01014187838882207,0.0291901270978298,0,0.5759917497634888,100,control
30,2250018,0.02145360714828694,0.01027032081037759,0.02952371208607083,0,0.6777306199073792,100,control
33,2225703,0.02133706139570785,0.01012821216136217,0.02986239371211665,0,1.4502885341644287,100,control
36,2274642,0.02148904581692659,0.01019109971821308,0.03019454568232252,0,1.4720877408981323,100,control
39,2265978,0.02129346602655705,0.01014187838882207,0.02938953042666976,0,0.566896915435791,100,control
42,2254635,0.02117946312917836,0.01014483626931905,0.02919037518637576,0,0.5202316045761108,100,control
45,2255104,0.0213136228670523,0.01019003521651029,0.02937742587885719,0,0.7918559908866882,100,control
48,2233800,0.0213958142953949,0.01025635842233896,0.02948649650900876,0,0.6129453182220459,100,control
0,2296710,0.02201793084830955,0.01026951801031828,0.04978773520660313,0,9.449430465698242,101,control
3,2314932,0.02117757250057294,0.01014972385019064,0.02914640509353528,0,0.6346561908721924,101,control
6,2257416,0.0212743748983031,0.01018474344164133,0.0293168728874511,0,0.8224447965621948,101,control
9,2319045,0.02132151307802167,0.01014976296573877,0.02939945969892734,0,0.566896915435791,101,control
12,2345486,0.0215073394029594,0.01026090048253536,0.03243139140924351,0,4.030134677886963,101,control
15,2343952,0.02123198385775976,0.01015473529696464,0.02927080679982766,0,0.646826446056366,101,control
18,2261820,0.02136164735226433,0.01022786926478147,0.02958678746092875,0,1.0531517267227173,101,control
21,2307192,0.02135033324242877,0.01021158602088689,0.02947843330978097,0,0.8934237957000732,101,control
24,2336292,0.02127629931684756,0.01019003521651029,0.02932669671439505,0,0.566896915435791,101,control
27,2345402,0.02124206383188135,0.01019039377570152,0.02940028859949924,0,0.7415974736213684,101,control
30,2279776,0.02124968785177439,0.01015603635460138,0.02949421095533213,0,1.3608031272888184,101,control
33,2317664,0.02135831879522683,0.01025258004665374,0.02939684031282127,0,0.6175803542137146,101,control
36,2287056,0.02135750826691433,0.01019817870110273,0.02942740077172378,0,0.6088271737098694,101,control
