Time,Seed,Model,Value
0,1,control,5.6319292929292e-4
3,1,control,5.6333888888888e-4
6,1,control,5.6438707070706e-4
9,1,control,5.6900767676766e-4
12,1,control,5.6326838383837e-4
15,1,control,5.6724656565655e-4
18,1,control,5.6484030303029e-4
21,1,control,5.6439444444443e-4
24,1,control,5.6668868686867e-4
27,1,control,5.628409090909e-4
30,1,control,5.6643474747474e-4
33,1,control,5.6494979797978e-4
36,1,control,5.6229343434342e-4
39,1,control,5.6344565656564e-4
42,1,control,5.6244999999999e-4
45,1,control,5.6472898989898e-4
48,1,control,5.668312121212e-4
0,10,control,5.5109060606059e-4
3,10,control,5.5328666666666e-4
6,10,control,5.5530636363635e-4
9,10,control,5.5679909090908e-4
12,10,control,5.5553606060605e-4
15,10,control,5.5702191919191e-4
18,10,control,5.5448323232322e-4
21,10,control,5.514408080808e-4
24,10,control,5.5663636363635e-4
27,10,control,5.5429646464645e-4
30,10,control,5.5724515151514e-4
33,10,control,5.5215555555554e-4
36,10,control,5.5676888888888e-4
39,10,control,5.5597909090908e-4
42,10,control,5.5322505050504e-4
45,10,control,5.5629020202019e-4
48,10,control,5.5281414141413e-4
0,100,control,5.3187999999999e-4
3,100,control,5.307615151515e-4
6,100,control,5.3080515151514e-4
9,100,control,5.3355212121211e-4
12,100,control,5.2977303030302e-4
15,100,control,5.3169575757575e-4
18,100,control,5.2953484848484e-4
21,100,control,5.3247757575757e-4
24,100,control,5.2855717171716e-4
27,100,control,5.3001939393938e-4
30,100,control,5.3276191919191e-4
33,100,control,5.3197727272726e-4
36,100,control,5.3338606060605e-4
39,100,control,5.321114141414e-4
42,100,control,5.3058828282827e-4
45,100,control,5.3223595959595e-4
48,100,control,5.2978999999999e-4
0,101,control,5.2769666666666e-4
3,101,control,5.2898202020201e-4
6,101,control,5.2575444444443e-4
9,101,control,5.3014777777777e-4
12,101,control,5.2955939393938e-4
15,101,control,5.268911111111e-4
18,101,control,5.2813939393938e-4
21,101,control,5.3074595959595e-4
24,101,control,5.3062959595958e-4
27,101,control,5.272209090909e-4
30,101,control,5.2901909090908e-4
33,101,control,5.2810717171716e-4
36,101,control,5.2962333333332e-4
39,101,control,5.2639484848484e-4
42,101,control,5.263511111111e-4
45,101,control,5.2978939393938e-4
48,101,control,5.3021292929292e-4
0,102,control,5.4840373737373e-4
3,102,control,5.4856999999999e-4
6,102,control,5.4655707070706e-4
9,102,control,5.4824212121211e-4
12,102,control,5.4621656565656e-4
15,102,control,5.4552959595959e-4
18,102,control,5.5095979797979e-4
21,102,control,5.4918868686867e-4
24,102,control,5.4812585858585e-4
27,102,control,5.4895828282827e-4
30,102,control,5.4815565656564e-4
33,102,control,5.4867313131312e-4
36,102,control,5.4918787878787e-4
39,102,control,5.453714141414e-4
42,102,control,5.492714141414e-4
45,102,control,5.4923818181817e-4
48,102,control,5.4856909090908e-4
0,103,control,5.5158272727272e-4
3,103,control,5.4981898989898e-4
6,103,control,5.5291757575756e-4
9,103,control,5.4798303030302e-4
12,103,control,5.4990535353534e-4
15,103,control,5.5367555555554e-4
18,103,control,5.514007070707e-4
21,103,control,5.4995232323231e-4
24,103,control,5.5403737373736e-4
27,103,control,5.5079191919191e-4
30,103,control,5.5034868686868e-4
33,103,control,5.4971787878787e-4
36,103,control,5.5033242424241e-4
39,103,control,5.5449454545454e-4
42,103,control,5.516414141414e-4
45,103,control,5.5233515151514e-4
48,103,control,5.4986252525251e-4
0,104,control,5.351608080808e-4
3,104,control,5.3161434343433e-4
6,104,control,5.2977161616161e-4
9,104,control,5.3315585858585e-4
12,104,control,5.3334797979797e-4
15,104,control,5.3286323232322e-4
18,104,control,5.3096808080807e-4
21,104,control,5.3265323232322e-4
24,104,control,5.3428747474746e-4
27,104,control,5.3202161616161e-4
30,104,control,5.3154212121211e-4
33,104,control,5.3271747474746e-4
36,104,control,5.3537202020201e-4
39,104,control,5.3156292929292e-4
42,104,control,5.3499171717171e-4
45,104,control,5.3550828282827e-4
48,104,control,5.3214313131312e-4
0,105,control,5.5515757575756e-4
3,105,control,5.5415343434342e-4
6,105,control,5.53501010101e-4
9,105,control,5.5790959595958e-4
12,105,control,5.5867343434342e-4
15,105,control,5.5709292929292e-4
18,105,control,5.5756363636362e-4
21,105,control,5.5885333333332e-4
24,105,control,5.5501393939393e-4
27,105,control,5.5307545454544e-4
30,105,control,5.5653323232322e-4
33,105,control,5.5762999999999e-4
36,105,control,5.5590424242423e-4
39,105,control,5.5636535353534e-4
42,105,control,5.5605262626262e-4
45,105,control,5.5522181818181e-4
48,105,control,5.5435757575756e-4
0,106,control,5.4884454545453e-4
3,106,control,5.4937313131312e-4
6,106,control,5.4691080808079e-4
9,106,control,5.4579959595958e-4
12,106,control,5.499407070707e-4
15,106,control,5.4955999999999e-4
18,106,control,5.474816161616e-4
21,106,control,5.4631454545453e-4
24,106,control,5.483711111111e-4
27,106,control,5.5060343434342e-4
30,106,control,5.4723767676767e-4
33,106,control,5.4755575757575e-4
36,106,control,5.4731414141413e-4
39,106,control,5.4464444444443e-4
42,106,control,5.4787262626261e-4
45,106,control,5.4515858585858e-4
48,106,control,5.4891474747474e-4
0,107,control,5.4377232323231e-4
3,107,control,5.4305868686868e-4
6,107,control,5.4272838383837e-4
9,107,control,5.3829272727272e-4
12,107,control,5.4786919191918e-4
15,107,control,5.4430040404039e-4
18,107,control,5.4164777777777e-4
21,107,control,5.4275191919191e-4
24,107,control,5.4444606060605e-4
27,107,control,5.4307747474746e-4
30,107,control,5.4382666666665e-4
33,107,control,5.4469666666666e-4
36,107,control,5.4247888888888e-4
39,107,control,5.4465606060605e-4
42,107,control,5.4537202020201e-4
45,107,control,5.4522808080807e-4
48,107,control,5.4510515151514e-4
0,108,control,5.2991565656564e-4
3,108,control,5.3327585858585e-4
6,108,control,5.2865626262625e-4
9,108,control,5.309612121212e-4
12,108,control,5.3350898989898e-4
15,108,control,5.2691282828282e-4
18,108,control,5.3044010101009e-4
21,108,control,5.2991020202019e-4
24,108,control,5.3203474747473e-4
27,108,control,5.3248212121211e-4
30,108,control,5.3403070707069e-4
33,108,control,5.3445757575757e-4
36,108,control,5.3043888888888e-4
39,108,control,5.3194828282827e-4
42,108,control,5.3143989898989e-4
45,108,control,5.3008858585857e-4
48,108,control,5.3138373737373e-4
0,109,control,5.3115939393938e-4
3,109,control,5.2967919191918e-4
6,109,control,5.3092282828282e-4
9,109,control,5.3150414141413e-4
12,109,control,5.311406060606e-4
15,109,control,5.3129737373736e-4
18,109,control,5.3196212121211e-4
21,109,control,5.3243717171716e-4
24,109,control,5.3365828282827e-4
27,109,control,5.3542060606059e-4
30,109,control,5.311812121212e-4
33,109,control,5.3117191919191e-4
36,109,control,5.3271181818181e-4
39,109,control,5.3112292929292e-4
42,109,control,5.3104575757575e-4
45,109,control,5.3030858585857e-4
48,109,control,5.3193959595958e-4
0,11,control,5.4731454545453e-4
3,11,control,5.4712767676766e-4
6,11,control,5.4846232323231e-4
9,11,control,5.4588848484847e-4
12,11,control,5.4877727272726e-4
15,11,control,5.5115393939393e-4
18,11,control,5.4868545454544e-4
21,11,control,5.499918181818e-4
24,11,control,5.4979202020201e-4
27,11,control,5.4519575757574e-4
30,11,control,5.4822505050504e-4
33,11,control,5.4504525252524e-4
36,11,control,5.4766838383837e-4
39,11,control,5.494508080808e-4
42,11,control,5.4909515151514e-4
45,11,control,5.4961474747474e-4
48,11,control,5.475614141414e-4
0,110,control,5.2950040404039e-4
3,110,control,5.2591848484847e-4
6,110,control,5.2782353535352e-4
9,110,control,5.2743939393938e-4
12,110,control,5.3017747474746e-4
15,110,control,5.3117222222221e-4
18,110,control,5.2921505050504e-4
21,110,control,5.2693939393938e-4
24,110,control,5.2792434343433e-4
27,110,control,5.2946767676767e-4
30,110,control,5.2686202020201e-4
33,110,control,5.2876939393938e-4
36,110,control,5.2675272727272e-4
39,110,control,5.2956252525251e-4
42,110,control,5.2963626262625e-4
45,110,control,5.2807343434342e-4
48,110,control,5.2926545454544e-4
0,111,control,5.5295757575756e-4
3,111,control,5.5331797979797e-4
6,111,control,5.5275676767676e-4
9,111,control,5.5246808080807e-4
12,111,control,5.4885979797979e-4
15,111,control,5.5189909090908e-4
18,111,control,5.5154040404039e-4
21,111,control,5.5014696969696e-4
24,111,control,5.5159797979797e-4
27,111,control,5.4876181818181e-4
30,111,control,5.5297494949494e-4
33,111,control,5.4929676767675e-4
36,111,control,5.472709090909e-4
39,111,control,5.4846686868686e-4
42,111,control,5.5160959595959e-4
45,111,control,5.4896181818181e-4
48,111,control,5.5142444444443e-4
0,112,control,5.6165505050504e-4
3,112,control,5.6143383838383e-4
6,112,control,5.6191505050504e-4
9,112,control,5.6213929292928e-4
12,112,control,5.5979414141413e-4
15,112,control,5.6346535353534e-4
18,112,control,5.6350898989898e-4
21,112,control,5.6134666666666e-4
24,112,control,5.6452616161615e-4
27,112,control,5.6458515151514e-4
30,112,control,5.5886616161615e-4
33,112,control,5.6120040404039e-4
36,112,control,5.6228454545453e-4
39,112,control,5.6220464646463e-4
42,112,control,5.5874868686867e-4
45,112,control,5.6220939393938e-4
48,112,control,5.6337828282827e-4
0,113,control,5.4001353535352e-4
3,113,control,5.3864818181817e-4
6,113,control,5.3983494949494e-4
9,113,control,5.3911696969696e-4
12,113,control,5.3764535353534e-4
15,113,control,5.3708070707069e-4
18,113,control,5.3625818181817e-4
21,113,control,5.3931494949494e-4
24,113,control,5.3676060606059e-4
27,113,control,5.4060313131312e-4
30,113,control,5.3887959595958e-4
33,113,control,5.3855484848484e-4
36,113,control,5.3934050505049e-4
39,113,control,5.3480484848484e-4
42,113,control,5.3758797979797e-4
45,113,control,5.3622969696969e-4
48,113,control,5.3829515151514e-4
0,114,control,5.3284181818181e-4
3,114,control,5.3146484848484e-4
6,114,control,5.3337444444443e-4
9,114,control,5.3571202020201e-4
12,114,control,5.3547888888888e-4
15,114,control,0.00053533838383837005
18,114,control,5.334912121212e-4
21,114,control,5.354516161616e-4
24,114,control,5.3453222222221e-4
27,114,control,5.3497676767676e-4
30,114,control,5.386012121212e-4
33,114,control,5.3752818181817e-4
36,114,control,5.3738616161615e-4
39,114,control,5.3575515151514e-4
42,114,control,5.3582202020201e-4
45,114,control,5.3468262626262e-4
48,114,control,5.3772616161615e-4
0,115,control,5.4127939393938e-4
3,115,control,5.4385212121211e-4
6,115,control,5.4436303030302e-4
9,115,control,5.4648878787878e-4
12,115,control,5.4417515151514e-4
15,115,control,5.4346999999999e-4
18,115,control,5.4152212121211e-4
21,115,control,5.4005424242423e-4
24,115,control,5.4392383838383e-4
27,115,control,5.4262333333332e-4
30,115,control,5.4291919191918e-4
33,115,control,5.4110333333332e-4
36,115,control,5.4428050505049e-4
39,115,control,5.4131767676766e-4
42,115,control,5.424508080808e-4
45,115,control,5.431711111111e-4
48,115,control,5.4322191919191e-4
0,116,control,5.4695262626261e-4
3,116,control,5.4715414141413e-4
6,116,control,5.4563303030302e-4
9,116,control,5.4465363636363e-4
12,116,control,5.477908080808e-4
15,116,control,5.4765939393938e-4
18,116,control,5.5018787878787e-4
21,116,control,5.4605282828282e-4
24,116,control,5.4729505050504e-4
27,116,control,5.4736404040403e-4
30,116,control,5.4493838383837e-4
33,116,control,5.4443404040403e-4
36,116,control,5.4413070707069e-4
39,116,control,5.4745696969696e-4
42,116,control,5.4643777777776e-4
45,116,control,5.50221010101e-4
48,116,control,5.4693272727272e-4
0,117,control,5.4691727272726e-4
3,117,control,5.4547696969696e-4
6,117,control,5.455807070707e-4
9,117,control,5.4549373737373e-4
12,117,control,5.4665292929292e-4
