Time,Seed,Model,Value
0,1,control,5787
3,1,control,5765
6,1,control,5849
9,1,control,5920
12,1,control,5821
15,1,control,5803
18,1,control,5826
21,1,control,5770
24,1,control,5829
27,1,control,5770
30,1,control,5872
33,1,control,5886
36,1,control,5848
39,1,control,5852
42,1,control,5809
45,1,control,5777
48,1,control,5913
0,10,control,5687
3,10,control,5699
6,10,control,5756
9,10,control,5716
12,10,control,5753
15,10,control,5746
18,10,control,5681
21,10,control,5705
24,10,control,5761
27,10,control,5757
30,10,control,5739
33,10,control,5745
36,10,control,5796
39,10,control,5689
42,10,control,5771
45,10,control,5681
48,10,control,5749
0,100,control,5519
3,100,control,5522
6,100,control,5516
9,100,control,5482
12,100,control,5498
15,100,control,5452
18,100,control,5466
21,100,control,5525
24,100,control,5569
27,100,control,5510
30,100,control,5557
33,100,control,5519
36,100,control,5590
39,100,control,5548
42,100,control,5516
45,100,control,5503
48,100,control,5486
0,101,control,5528
3,101,control,5515
6,101,control,5470
9,101,control,5580
12,101,control,5548
15,101,control,5473
18,101,control,5592
21,101,control,5478
24,101,control,5499
27,101,control,5493
30,101,control,5515
33,101,control,5512
36,101,control,5509
39,101,control,5461
42,101,control,5485
45,101,control,5599
48,101,control,5529
0,102,control,5638
3,102,control,5605
6,102,control,5510
9,102,control,5592
12,102,control,5597
15,102,control,5610
18,102,control,5688
21,102,control,5654
24,102,control,5652
27,102,control,5576
30,102,control,5563
33,102,control,5589
36,102,control,5627
39,102,control,5573
42,102,control,5617
45,102,control,5544
48,102,control,5633
0,103,control,5786
3,103,control,5693
6,103,control,5785
9,103,control,5736
12,103,control,5808
15,103,control,5825
18,103,control,5811
21,103,control,5804
24,103,control,5866
27,103,control,5745
30,103,control,5786
33,103,control,5786
36,103,control,5867
39,103,control,5774
42,103,control,5786
45,103,control,5775
48,103,control,5782
0,104,control,5654
3,104,control,5644
6,104,control,5642
9,104,control,5657
12,104,control,5590
15,104,control,5643
18,104,control,5600
21,104,control,5652
24,104,control,5652
27,104,control,5658
30,104,control,5665
33,104,control,5700
36,104,control,5677
39,104,control,5688
42,104,control,5644
45,104,control,5588
48,104,control,5707
0,105,control,5729
3,105,control,5707
6,105,control,5734
9,105,control,5745
12,105,control,5718
15,105,control,5716
18,105,control,5771
21,105,control,5780
24,105,control,5754
27,105,control,5731
30,105,control,5760
33,105,control,5742
36,105,control,5705
39,105,control,5714
42,105,control,5724
45,105,control,5736
48,105,control,5691
0,106,control,5824
3,106,control,5760
6,106,control,5795
9,106,control,5745
12,106,control,5804
15,106,control,5797
18,106,control,5716
21,106,control,5714
24,106,control,5759
27,106,control,5742
30,106,control,5779
33,106,control,5771
36,106,control,5686
39,106,control,5746
42,106,control,5800
45,106,control,5727
48,106,control,5788
0,107,control,5749
3,107,control,5726
6,107,control,5741
9,107,control,5610
12,107,control,5782
15,107,control,5711
18,107,control,5711
21,107,control,5744
24,107,control,5692
27,107,control,5755
30,107,control,5694
33,107,control,5714
36,107,control,5734
39,107,control,5705
42,107,control,5677
45,107,control,5706
48,107,control,5654
0,108,control,5617
3,108,control,5581
6,108,control,5536
9,108,control,5594
12,108,control,5656
15,108,control,5570
18,108,control,5512
21,108,control,5581
24,108,control,5644
27,108,control,5557
30,108,control,5579
33,108,control,5604
36,108,control,5599
39,108,control,5574
42,108,control,5568
45,108,control,5609
48,108,control,5552
0,109,control,5529
3,109,control,5532
6,109,control,5476
9,109,control,5494
12,109,control,5477
15,109,control,5529
18,109,control,5519
21,109,control,5555
24,109,control,5506
27,109,control,5559
30,109,control,5545
33,109,control,5560
36,109,control,5487
39,109,control,5503
42,109,control,5501
45,109,control,5526
48,109,control,5500
0,11,control,5666
3,11,control,5725
6,11,control,5654
9,11,control,5658
12,11,control,5647
15,11,control,5668
18,11,control,5622
21,11,control,5648
24,11,control,5630
27,11,control,5645
30,11,control,5662
33,11,control,5669
36,11,control,5616
39,11,control,5694
42,11,control,5594
45,11,control,5620
48,11,control,5618
0,110,control,5589
3,110,control,5535
6,110,control,5543
9,110,control,5630
12,110,control,5634
15,110,control,5599
18,110,control,5597
21,110,control,5528
24,110,control,5644
27,110,control,5556
30,110,control,5555
33,110,control,5567
36,110,control,5568
39,110,control,5551
42,110,control,5576
45,110,control,5562
48,110,control,5515
0,111,control,5717
3,111,control,5771
6,111,control,5718
9,111,control,5678
12,111,control,5638
15,111,control,5691
18,111,control,5653
21,111,control,5700
24,111,control,5706
27,111,control,5656
30,111,control,5704
33,111,control,5668
36,111,control,5691
39,111,control,5646
42,111,control,5630
45,111,control,5579
48,111,control,5664
0,112,control,5660
3,112,control,5643
6,112,control,5674
9,112,control,5671
12,112,control,5675
15,112,control,5733
18,112,control,5676
21,112,control,5674
24,112,control,5667
