Time,Seed,Model,Value
0,1,control,0.0378884129228285
3,1,control,-0.00406148967178263
6,1,control,0.02544510341806005
9,1,control,-0.01901084375663344
12,1,control,-0.01567441196086648
15,1,control,0.05324999036546987
18,1,control,0.04816617203335685
21,1,control,0.02992627954515551
24,1,control,-0.00965030434454906
27,1,control,0.01824757113011401
30,1,control,0.0563930529659385
33,1,control,0.03575092942376923
36,1,control,-0.00343869372401672
39,1,control,0.01332916980759363
42,1,control,0.03703875620253759
45,1,control,-0.0235777556546945
48,1,control,-0.00893990862862236
0,10,control,-0.07993295456791089
3,10,control,-0.06635992187351121
6,10,control,-0.02334330442702303
9,10,control,-0.04719830825308224
12,10,control,-0.0460345799742077
15,10,control,-0.05708888257689472
18,10,control,-0.04722171252993973
21,10,control,-0.01226880794044222
24,10,control,-0.06958999729364966
27,10,control,-0.03953302315080369
30,10,control,-0.04809210110464407
33,10,control,-0.0528613990985335
36,10,control,-0.05242093096810036
39,10,control,-0.0314053900538996
42,10,control,-0.04985584994340567
45,10,control,-0.05074294973409482
48,10,control,-0.0296929717691927
0,100,control,-0.01520150276330434
3,100,control,0.00644971168890362
6,100,control,-0.0287773420065237
9,100,control,-0.03313981635673931
12,100,control,-0.02415285773883518
15,100,control,0.06306489740103866
18,100,control,0.00111146370878642
21,100,control,0.01773950816987719
24,100,control,0.04375854928768672
27,100,control,0.03637295193474792
30,100,control,0.01608860340650849
33,100,control,0.05627946106990515
36,100,control,0.05101487721354528
39,100,control,-0.00190661243990938
42,100,control,-6.0238835172288e-4
45,100,control,-0.00682386201272039
48,100,control,-0.0038961553304796
0,101,control,-0.00444154592260343
3,101,control,0.0137422926296292
6,101,control,0.01920470661191733
9,101,control,0.02282707821962302
12,101,control,0.05090574662530323
15,101,control,0.04909846103562913
18,101,control,0.04002844188803561
21,101,control,0.04027988518774977
24,101,control,0.00372525878014741
27,101,control,-0.00763577605600626
30,101,control,0.07437992489250575
33,101,control,-0.02154282729375514
36,101,control,0.00959616890964029
39,101,control,0.10220091761053944
42,101,control,-0.01534715548613455
45,101,control,0.03987372776482763
48,101,control,0.03458537003572905
0,102,control,5.094675067884e-4
3,102,control,0.00837942903124782
6,102,control,0.03814809439951866
9,102,control,0.01658733346991151
12,102,control,-1.0573643768922e-4
15,102,control,0.01913051750426355
18,102,control,0.01872535497793014
21,102,control,0.02078544224084353
24,102,control,-0.00182409851624514
27,102,control,-0.01469859999970102
30,102,control,-0.01622536534543376
33,102,control,0.02469272442774353
36,102,control,0.03886818257587822
39,102,control,0.00966618394756451
42,102,control,-1.8950390372252e-4
45,102,control,0.02469240091041467
48,102,control,0.02314089317372166
0,103,control,-0.09449794649969602
3,103,control,-0.07815397785870591
6,103,control,-0.08353290800559644
9,103,control,-0.10968879608618733
12,103,control,-0.06618951850717521
15,103,control,-0.08568569421955359
18,103,control,-0.04916678063314005
21,103,control,-0.0690235331451675
24,103,control,-0.0983080378628128
27,103,control,-0.06832110865422722
30,103,control,-0.05479527051299713
33,103,control,-0.08113906786960014
36,103,control,-0.0958673107332997
39,103,control,-0.07710207205020098
42,103,control,-0.05698691942940775
45,103,control,-0.08080510928162878
48,103,control,-0.11817506877574203
0,104,control,0.03421038205106552
3,104,control,0.04032358344487717
6,104,control,0.03452851634934605
9,104,control,0.00640818868463435
12,104,control,0.07084080523963585
15,104,control,0.02924425829673114
18,104,control,0.03162260654313163
21,104,control,0.04674181791291623
24,104,control,0.01714250941486207
27,104,control,0.03065028444727556
30,104,control,0.02250674965708568
33,104,control,-4.8853115906449e-4
36,104,control,0.03616582916820076
39,104,control,0.03849599188446211
42,104,control,0.05310701750505006
45,104,control,0.06215437568645361
48,104,control,0.01058813953904303
0,105,control,0.02252522071980779
3,105,control,-0.0265727660942577
6,105,control,-0.0034458784709476
9,105,control,0.00437256553353333
12,105,control,0.01542447585989715
15,105,control,-5.558155696099e-4
18,105,control,-0.01043934818669358
21,105,control,0.00491278288863644
24,105,control,0.0310928049155245
27,105,control,0.03692582675444598
30,105,control,0.06255935412429484
33,105,control,-0.00424807894880261
36,105,control,0.01827794850877682
39,105,control,-0.00271048952903447
42,105,control,0.01728481683101072
45,105,control,0.00717205182438798
48,105,control,0.0107360222399269
0,106,control,-0.05203232250198312
3,106,control,-0.02361547240325615
6,106,control,-0.02709459332473264
9,106,control,-0.0232496423708378
12,106,control,-0.04294691841821303
15,106,control,-0.074203996367
18,106,control,-0.02414440017630896
21,106,control,-0.06784349334744122
24,106,control,-0.03118169777805453
27,106,control,0.02157351699652369
30,106,control,-0.00291512429768252
33,106,control,-0.04323425639935284
36,106,control,0.00273237379276797
39,106,control,-0.0088422653201263891
42,106,control,0.03846232728760194
45,106,control,-0.0659168393053412
48,106,control,0.00614511950650626
0,107,control,0.03488359017630896
3,107,control,0.02833853470921587
6,107,control,-0.01020907028283563
9,107,control,0.05016158646781547
12,107,control,0.02367354823064462
15,107,control,0.02670553911268457
18,107,control,0.08033362357683331
21,107,control,0.0484759341081316
24,107,control,0.05220492117995739
27,107,control,0.07856880591571308
30,107,control,0.03403887655300186
33,107,control,-0.00989443890331406
36,107,control,0.04989512414176779
39,107,control,0.06430913754341634
42,107,control,0.03969407701670809
45,107,control,0.02815401228491944
48,107,control,0.02626989542293673
0,108,control,-0.05626843609638035
3,108,control,-0.01327743205821556
6,108,control,-0.03304626626060568
9,108,control,-0.03493380860073434
12,108,control,-0.04310938831788175
15,108,control,-0.00864997560394032
18,108,control,-0.02598533289859281
21,108,control,-0.04803421684135855
24,108,control,-0.02835626280780755
27,108,control,-0.0541722225291784
30,108,control,-0.00918672447599603
33,108,control,-0.00309062207332089
36,108,control,-0.05897767817688654
39,108,control,-0.04356331282428894
42,108,control,-0.02248921616602717
45,108,control,-0.01547053298346537
48,108,control,-0.0096833592915346
0,109,control,-0.0874580287076683
3,109,control,-0.07809838098277279
6,109,control,-0.13480901278043808
9,109,control,-0.06104932580602738
12,109,control,-0.10791032656263676
15,109,control,-0.10598987359347342
18,109,control,-0.0969306073548131
21,109,control,-0.06652591481595135
24,109,control,-0.08713627166921964
27,109,control,-0.02028197597696151
30,109,control,-0.02700061921697579
33,109,control,-0.02374424928719596
36,109,control,-0.05824934737790344
39,109,control,-0.10424470952138357
42,109,control,-0.03928357344125705
45,109,control,-0.0681421022616813
48,109,control,-0.0324364422701361
0,11,control,-0.07783666080162607
3,11,control,-0.06516031571483973
6,11,control,-0.06293674407454958
9,11,control,-0.07760835960380193
12,11,control,-0.07101849781049634
15,11,control,-0.04221311940144923
18,11,control,-0.04487463538904738
21,11,control,-0.06055170683487212
24,11,control,-0.06616931960591765
27,11,control,-0.04160653084226732
30,11,control,-0.07495182383536118
33,11,control,-0.06314727354212307
36,11,control,-0.0575973405368729
39,11,control,-0.05080771652222275
42,11,control,-0.05648475982105536
45,11,control,-0.06020452341124716
48,11,control,-0.05426862347891595
0,110,control,0.01561614880931132
3,110,control,0.01808830870235727
6,110,control,0.02071901571901678
9,110,control,0.007428147340715
12,110,control,0.02176415218708867
15,110,control,0.02434757668841269
18,110,control,0.003019648845067
21,110,control,-8.7643563898777e-4
24,110,control,0.01178623434752953
27,110,control,-3.017130506759e-4
30,110,control,0.0460441596828063
33,110,control,0.01856759803004133
36,110,control,-0.01737685486279805
39,110,control,0.01111114246432309
42,110,control,-0.001355905036098
45,110,control,0.01397656498910601
48,110,control,0.03774938752507071
0,111,control,0.00517338790055859
3,111,control,0.01304107739334704
6,111,control,0.03184147518368342
9,111,control,-0.0051749166850163
12,111,control,-0.01041573812163875
15,111,control,-0.00524352996666964
18,111,control,0.00898090859230589
21,111,control,0.00641612758826755
24,111,control,-0.04229096064046325
27,111,control,0.00559265298463578
30,111,control,-0.00363034861559473
33,111,control,0.00977835059694258
36,111,control,-0.03394528261721668
39,111,control,0.0167923361269887
42,111,control,0.00546350753437692
45,111,control,-0.00695228046600489
48,111,control,-0.01436844313783105
0,112,control,-0.00536770073404504
3,112,control,0.06381802044275894
6,112,control,0.04274927373490544
9,112,control,0.08211556825949036
12,112,control,0.05077719714948301
15,112,control,0.05482782777122635
18,112,control,0.0349661054425397
21,112,control,0.06469986025116481
24,112,control,0.0611736876002632
27,112,control,0.07934435377884061
30,112,control,0.07439443016988546
33,112,control,0.04823308762088062
36,112,control,0.02789127327505999
39,112,control,0.05977761946061064
42,112,control,0.07371968518212027
45,112,control,0.04859597781273707
48,112,control,0.06590451218678506
0,113,control,-0.02905441659516966
3,113,control,-0.00788619968011646
6,113,control,0.01656897168159402
9,113,control,0.01184588988402766
12,113,control,0.07534424137668642
15,113,control,0.05258541503088896
18,113,control,0.02810523733304553
21,113,control,0.02150536060190228
24,113,control,0.0647734384904911
27,113,control,0.0370150250213432
30,113,control,0.03273199968043496
33,113,control,0.0290021981368382
36,113,control,0.00696524741394405
39,113,control,0.03903926507340487
42,113,control,0.04641608539825116
45,113,control,0.03129790221197338
48,113,control,0.05526388220305
0,114,control,-0.05038269631169524
3,114,control,-0.0382541906303125
6,114,control,-0.00332817568104898
9,114,control,-5.7069026337551e-4
12,114,control,-0.02369704896140621
15,114,control,-0.09106040436203952
18,114,control,-0.05065957799450216
21,114,control,-0.0269376221779777
24,114,control,-0.08094937016488403
27,114,control,-0.02274824872308577
30,114,control,0.00452410276881675
33,114,control,-0.05247500311587874
36,114,control,-0.10334091461725028
39,114,control,-0.02645773329115973
42,114,control,-0.05363352765352958
45,114,control,-0.01937804192040812
48,114,control,-0.06813484132050886
0,115,control,-0.0374905442003727
3,115,control,-0.01794496056222663
6,115,control,-0.00749891651482731
9,115,control,-0.01532017751401667
12,115,control,-0.01538016546529768
15,115,control,0.0019491303671018
18,115,control,-0.0190885799722947
21,115,control,-0.01002220726705721
24,115,control,-0.00748394401565358
27,115,control,0.01259932336218671
30,115,control,0.04739670461289842
33,115,control,-0.03605703025275144
36,115,control,0.00945932509309156
39,115,control,-0.01121210019673025
42,115,control,0.01067366592137838
45,115,control,0.01142179204970227
48,115,control,-3.9879266516929e-4
0,116,control,-0.03004655933817506
3,116,control,-0.03674600612118086
6,116,control,-0.02925184388853095
9,116,control,-0.0225012753649735
12,116,control,-0.03503377138851011
15,116,control,-0.03892477517513688
18,116,control,-0.03716187053096555
21,116,control,-0.03467784651033046
24,116,control,-0.05113353069995775
27,116,control,-0.05381431989983198
30,116,control,-0.00740177319002776
33,116,control,-0.06003608476607791
36,116,control,-0.0406670968350297
39,116,control,-0.00356290622217417
42,116,control,-0.05295188640187218
45,116,control,-0.04175024760297055
48,116,control,-0.07490360895074108
0,117,control,-0.05382864539520037
3,117,control,-0.06236615135572958
6,117,control,-0.10433227831812024
9,117,control,0.00519449788828513
12,117,control,-0.02963863714636196
15,117,control,-0.03457327111588829
18,117,control,-0.07970590797296656
21,117,control,-0.14993694994037304
24,117,control,-0.09408083964451616
27,117,control,-0.08990431166526754
30,117,control,-0.04955449778850236
33,117,control,-0.02329087258285865
36,117,control,-0.00829632852241734
39,117,control,-0.07658596355889442
42,117,control,-0.07606113853644217
45,117,control,-0.11482187708247855
48,117,control,-0.08931524923146407
0,118,control,-0.040977058161817
3,118,control,-0.03376577713221384
6,118,control,-9.2094730526441e-4
9,118,control,0.0108393729655669
12,118,control,0.00229327564626422
15,118,control,0.02515459143430761
18,118,control,0.0202094370504798
21,118,control,-0.02545425646837508
24,118,control,-0.00843832334463638
27,118,control,-0.0048004587335327
30,118,control,0.0139950973822491
33,118,control,0.00442339906508425
36,118,control,0.01752840284983917
39,118,control,0.01525225103428086
42,118,control,0.04490175591371744
45,118,control,-0.01281297581894313
48,118,control,-0.0327143394970647
0,119,control,-0.0657619598135061
3,119,control,-0.05355992732986475
6,119,control,-0.07110021291452606
9,119,control,-0.05299493429070417
12,119,control,-0.0763341635539499
15,119,control,-0.01592033118487987
18,119,control,-0.03299599093968667
21,119,control,-0.0724003271460086
24,119,control,-0.1045556389165454
27,119,control,-0.0796909114387161
30,119,control,-0.04044733769057215
33,119,control,-0.01726612387369142
36,119,control,-0.11124970792819476
39,119,control,-0.0808360121965896
42,119,control,-0.02322494077893575
45,119,control,-0.0995820186466286
48,119,control,-0.06802760615303957
0,12,control,-0.13826295474548755
3,12,control,-0.13965856582468705
6,12,control,-0.04210411491121688
9,12,control,-0.05165741137203333
12,12,control,-0.0590335029751976
15,12,control,-0.05505507430406035
18,12,control,-0.07379645412553575
21,12,control,-0.06123450084635615
24,12,control,-0.11151071014256132
27,12,control,-0.07441092060382613
30,12,control,-0.06956612397030959
33,12,control,-0.13555996835208434
36,12,control,-0.09926301875171134
39,12,control,-0.01614244260166486
42,12,control,-0.0803755612776802
45,12,control,-0.04348565009986103
48,12,control,-0.09766763412019164
0,120,control,0.04989174857978768
3,120,control,0.08605821650551657
6,120,control,0.08375656797418447
9,120,control,0.05700950433753553
12,120,control,0.06284386885936429
15,120,control,0.0753815592246247
18,120,control,0.070882670124217
21,120,control,0.02908897252582321
24,120,control,0.04053734838901823
27,120,control,0.13170596843588542
30,120,control,0.1306087610168738
33,120,control,0.07207379736775217
36,120,control,0.06110872664485423
39,120,control,0.09509619065016096
42,120,control,0.06861495659286368
45,120,control,0.06217384452893505
48,120,control,0.0451819960795975
0,121,control,0.03281396207976836
3,121,control,0.0633441958237393
6,121,control,0.06137523855477542
9,121,control,-0.00760007753410767
12,121,control,-0.00178059432599046
15,121,control,0.03611782079143035
18,121,control,0.01932269088713508
21,121,control,0.01868272442625439
24,121,control,0.01174371841931546
27,121,control,0.01758620786722227
30,121,control,-0.01378142897748202
33,121,control,0.04842412405353739
36,121,control,0.04399619858312233
39,121,control,0.06035506149555127
42,121,control,0.01695657614790399
45,121,control,0.04138766306948174
48,121,control,0.04190302338045597
0,122,control,-0.06672991456565959
3,122,control,-0.03564248554846893
6,122,control,-0.09967444380139776
9,122,control,-0.05049478162280671
12,122,control,-0.05147247150090146
15,122,control,-0.07395504411988438
18,122,control,-0.04371738141098591
21,122,control,-0.07865562885762814
