Time,Seed,Model,Value
0,1,control,0.03714947273422003
3,1,control,0.04825514140501818
6,1,control,0.00708305816933308
9,1,control,-0.00524876963271907
12,1,control,0.01618985401793372
15,1,control,0.0505898215739204
18,1,control,0.02280766437185641
21,1,control,0.05535131266524843
24,1,control,0.03050335742124283
27,1,control,0.04278637639274364
30,1,control,0.00483790649823558
33,1,control,-0.0140087680680588
36,1,control,-0.00854003957396017
39,1,control,-0.00506304500096256
42,1,control,0.01415717903540962
45,1,control,0.04656970059815817
48,1,control,-0.01944949587465897
0,10,control,0.02072692034205383
3,10,control,0.02895754302314257
6,10,control,0.00301016395128947
9,10,control,0.04048633067272398
12,10,control,0.0080014642708353
15,10,control,0.02195484162891157
18,10,control,0.04371876693079123
21,10,control,0.01022345308575657
24,10,control,0.01239451007256232
27,10,control,-8.3076173877523e-4
30,10,control,0.02753984702333532
33,10,control,-0.00749206737403706
36,10,control,-0.01404392926753308
39,10,control,0.04877506298021077
42,10,control,-0.01749919689924147
45,10,control,0.05499574601952062
48,10,control,-0.00521181583923646
0,100,control,0.00154360753536374
3,100,control,-0.00564446004060099
6,100,control,-0.00288354577324809
9,100,control,0.03738688443965886
12,100,control,0.00104041157237345
15,100,control,0.04627979097592673
18,100,control,0.0195544638003356
21,100,control,0.00103817104547969
24,100,control,-0.05159734380122145
27,100,control,-0.0035938822575309
30,100,control,-0.01441955141195525
33,100,control,0.0040328682605403
36,100,control,-0.03121100749391308
39,100,control,-0.0155040586149585
42,100,control,-0.00489849392386379
45,100,control,0.01317675243868954
48,100,control,0.00864501114444074
0,101,control,-0.02718817520579003
3,101,control,-0.01151360100710525
6,101,control,-0.0024718540295773
9,101,control,-0.04389850712822473
12,101,control,-0.02998046285381982
15,101,control,-7.3354619838436e-4
18,101,control,-0.06330896309680421
21,101,control,0.01984968442577838
24,101,control,0.00656629082036446
27,101,control,-0.01356219986960393
30,101,control,-0.01375160732038847
33,101,control,-0.01714511257042107
36,101,control,-0.00365942381591385
39,101,control,0.00419841239062056
42,101,control,-0.01421036532981843
45,101,control,-0.06006144231127712
48,101,control,-0.01781374685986904
0,102,control,0.0337758450370432
3,102,control,0.05643999400944346
6,102,control,0.10418165212754132
9,102,control,0.06183398987084651
12,102,control,0.04401708889781418
