Time,N,Seed,Model,Value
0,10,1,control,-0.0016885048971297
0,30,1,control,-0.06900118571327034
3,10,1,control,-0.00234688182964268
3,30,1,control,-0.04315174070497048
6,10,1,control,-0.00565340800236875
6,30,1,control,-0.05566412014700862
9,10,1,control,-0.06652829438185055
9,30,1,control,-0.07289520545955157
12,10,1,control,-0.09386650577161204
12,30,1,control,-0.04280730703400907
15,10,1,control,-0.02700707716116862
15,30,1,control,-0.04620953893715635
18,10,1,control,0.00449013834356249
18,30,1,control,-0.02959842094615776
21,10,1,control,-0.05922778150368273
21,30,1,control,-0.06790816427139837
24,10,1,control,-0.07953240496270417
24,30,1,control,-0.03925821697021129
27,10,1,control,-0.00381863711652141
27,30,1,control,-0.05733724892896155
30,10,1,control,-0.05398112366052896
30,30,1,control,-0.08335345365261033
33,10,1,control,-0.05824716965276953
33,30,1,control,-0.0557516855827013
36,10,1,control,-0.03332171478326472
36,30,1,control,-0.05814931126167711
39,10,1,control,-0.02791381899723425
39,30,1,control,-0.04467452614482908
42,10,1,control,-0.00600144166744996
42,30,1,control,-0.00337695283555424
45,10,1,control,-0.06947532069727475
45,30,1,control,-0.0363724867002585
48,10,1,control,-0.04128779934623466
48,30,1,control,-0.08145332340198135
0,10,10,control,-0.00733758198670063
0,30,10,control,0.00214712557848361
3,10,10,control,9.6644797234959e-4
3,30,10,control,0.02547757011474965
6,10,10,control,0.00306199306373815
6,30,10,control,0.01914404411103171
9,10,10,control,0.02752247179792307
9,30,10,control,-0.00957038361069084
12,10,10,control,0.01634767752920846
12,30,10,control,0.00391639384612906
15,10,10,control,0.02257589397234619
15,30,10,control,0.01899938718447228
18,10,10,control,0.00659611467806204
18,30,10,control,0.01891471983827848
21,10,10,control,0.02053259063668143
21,30,10,control,0.02348094033817256
24,10,10,control,0.02513211579533162
24,30,10,control,0.0134333526630783
27,10,10,control,-0.01013935850217511
27,30,10,control,-0.04422513822178853
30,10,10,control,-0.00848766101478861
30,30,10,control,0.01404362914959472
33,10,10,control,-0.00482116902829973
33,30,10,control,0.02030976037145639
36,10,10,control,0.01952054189377874
36,30,10,control,0.01809340524029745
39,10,10,control,-0.02842026432379747
39,30,10,control,-0.03092646273591518
42,10,10,control,-0.03198870556834105
42,30,10,control,0.0415988134811844
45,10,10,control,-0.00669560518423508
45,30,10,control,-0.01155388921759666
48,10,10,control,-0.02038393615955821
48,30,10,control,-0.01935054756550094
0,10,100,control,0.12674593063294784
0,30,100,control,-0.05920792692702958
3,10,100,control,-0.01124029858860847
3,30,100,control,-0.0585619133588217
6,10,100,control,-0.05741804764719511
6,30,100,control,-0.06071702968861967
9,10,100,control,0.00732626050266081
9,30,100,control,-0.042449460249264
12,10,100,control,0.03700847786270152
12,30,100,control,-0.06204677584264204
15,10,100,control,-0.11954625043946313
15,30,100,control,-0.0613486099068558
18,10,100,control,-0.04387279721889398
18,30,100,control,-0.00723445195185496
21,10,100,control,-0.03460957359186949
21,30,100,control,-0.05566923147896924
24,10,100,control,-0.02047618977141645
24,30,100,control,-0.0850404975224258
27,10,100,control,-0.00699033724875473
27,30,100,control,-0.09239545613568294
30,10,100,control,-0.06687043611978398
30,30,100,control,-0.06729057419292689
33,10,100,control,-0.05203550393067704
33,30,100,control,-0.02381445311422496
36,10,100,control,-0.02264163640170114
36,30,100,control,-0.08304560566062383
39,10,100,control,0.01345907684496763
39,30,100,control,-0.09028640336791544
42,10,100,control,-0.1076545716912029
42,30,100,control,-0.14042655915063276
45,10,100,control,-0.06186679497989568
45,30,100,control,-0.08484703635483053
48,10,100,control,-0.01003069616214195
48,30,100,control,-0.05186760995048484
0,10,101,control,-0.05237073633899392
0,30,101,control,-0.05879521207393382
3,10,101,control,-0.04938069420287543
3,30,101,control,-0.07143860092652415
6,10,101,control,-0.01610509196629905
6,30,101,control,-0.07594038511530314
9,10,101,control,-0.06539798946360625
9,30,101,control,-0.1068201275750972
12,10,101,control,-0.13165087384447477
12,30,101,control,-0.17372954970600063
15,10,101,control,-0.07088514134578758
15,30,101,control,-0.07431445131289352
18,10,101,control,-0.02034425073167359
18,30,101,control,-0.00698839096090761
21,10,101,control,0.02043430721551111
21,30,101,control,-0.070417828074641
24,10,101,control,-0.04020807608310359
24,30,101,control,-0.0229497371065524
27,10,101,control,-0.00707680039956281
27,30,101,control,-0.03152912024805218
30,10,101,control,-0.03300532453031139
30,30,101,control,-0.09242152246629635
33,10,101,control,0.01117839207766505
33,30,101,control,-0.05171416912439971
36,10,101,control,-0.00707718456618782
36,30,101,control,-0.12194412133286885
39,10,101,control,0.0019134424709129
39,30,101,control,-0.00862723226968292
42,10,101,control,-0.07163936873890313
42,30,101,control,-0.15365185287357988
45,10,101,control,-0.03961996740677436
45,30,101,control,-0.1312187912821194
48,10,101,control,-0.09757464535304627
48,30,101,control,-0.10375320927289824
0,10,102,control,-0.03816068761794239
0,30,102,control,-0.03748058808965779
3,10,102,control,0.01765043245225838
3,30,102,control,-0.04127613985789485
6,10,102,control,0.02576062737675184
6,30,102,control,0.02053601569877303
9,10,102,control,-0.08829343868364878
9,30,102,control,-0.05321077447465591
12,10,102,control,-0.00720753175771776
12,30,102,control,0.00420603871791457
15,10,102,control,0.00620608699104068
15,30,102,control,-0.04319106893229205
18,10,102,control,-0.0322256538639832
18,30,102,control,-0.05054413134231644
21,10,102,control,-0.01076526701753573
21,30,102,control,-0.05428482253292983
24,10,102,control,-0.04566807303660835
24,30,102,control,-0.03571714157963034
27,10,102,control,-9.6460322700892e-4
27,30,102,control,-0.05267805408931717
30,10,102,control,-0.04969990688612887
30,30,102,control,-0.03142065419158373
33,10,102,control,-4.1431623236739e-4
