Time,N,Seed,Model,Value
0,10,1,control,-0.00268058747053425
0,30,1,control,0.01288631060486936
3,10,1,control,0.00394426048507318
3,30,1,control,-0.01210790543275976
6,10,1,control,0.05921455570380857
6,30,1,control,0.04566673924007709
9,10,1,control,-7.9966015631593e-4
9,30,1,control,-0.01946035711937518
12,10,1,control,-0.01539681072410156
12,30,1,control,-0.01939623821508182
15,10,1,control,0.03988381047901167
15,30,1,control,0.02613101660803413
18,10,1,control,-0.01814799300832699
18,30,1,control,0.03553590043227235
21,10,1,control,0.00369582309197491
21,30,1,control,0.02543197373844091
24,10,1,control,-0.0583974479200317
24,30,1,control,0.02459765890275182
27,10,1,control,0.04229665983882782
27,30,1,control,0.01808636097134343
30,10,1,control,0.06009694438411443
30,30,1,control,0.07754799964621356
33,10,1,control,-0.01104510128546421
33,30,1,control,0.03730663175266353
36,10,1,control,-0.04651643867759074
36,30,1,control,-0.01680451225028339
39,10,1,control,0.03183994640264685
39,30,1,control,0.04142522808129671
42,10,1,control,-0.02569278933320692
42,30,1,control,0.03798842096230712
45,10,1,control,-0.04050726860104273
45,30,1,control,-0.03266862673316811
48,10,1,control,0.02670003689924528
48,30,1,control,0.0225411261443033
0,10,10,control,0.00427405710593949
0,30,10,control,-0.06123990947378628
3,10,10,control,-0.05084570229740468
3,30,10,control,-0.04830591154051138
6,10,10,control,-0.069399209809234
6,30,10,control,-0.03873503111883287
9,10,10,control,-0.00180632363697379
9,30,10,control,-0.06538704609442215
12,10,10,control,-0.04875230950574726
12,30,10,control,-0.02345391483823107
15,10,10,control,-0.03317628792077524
15,30,10,control,-0.05055806706434163
18,10,10,control,-0.01064170333647057
18,30,10,control,-0.05542164709561754
21,10,10,control,-0.00145642886221883
21,30,10,control,-0.01619982464299806
24,10,10,control,-0.05579274090818455
24,30,10,control,-0.0796512411546082
27,10,10,control,-0.01389773152800287
27,30,10,control,-0.02961630244045384
30,10,10,control,-0.08537405191814497
30,30,10,control,-0.06391089324955138
33,10,10,control,-0.05358762604286317
33,30,10,control,-0.05457898009529271
36,10,10,control,-0.00182228619311552
36,30,10,control,-0.0475619006904618
39,10,10,control,0.00242982611222219
39,30,10,control,-0.02678475379081719
42,10,10,control,-0.01572886887858231
42,30,10,control,-0.05419063899031715
45,10,10,control,-0.02893069399526153
45,30,10,control,-0.05922222252765699
48,10,10,control,-0.03473476322546447
48,30,10,control,-0.05357265546067644
0,10,100,control,-0.02699817250127171
0,30,100,control,0.01042289726964211
3,10,100,control,0.05710397360791321
3,30,100,control,0.02994061506224628
6,10,100,control,-0.00372685440213829
6,30,100,control,-0.05489931794989734
9,10,100,control,0.03129566518688429
9,30,100,control,-0.05487431859853738
12,10,100,control,-0.10207260196462092
12,30,100,control,-0.04119103082810652
15,10,100,control,-0.02644199989085206
15,30,100,control,0.01602456370535811
18,10,100,control,-0.04582469144418368
18,30,100,control,2.9506995450946e-4
21,10,100,control,0.00246177688965248
21,30,100,control,-0.00384861699559783
24,10,100,control,0.05748928459750417
24,30,100,control,0.02067709536512959
27,10,100,control,0.0147374077736547
27,30,100,control,-0.01813442022320652
30,10,100,control,-0.02346921818854351
30,30,100,control,0.04313329004836878
33,10,100,control,0.040407563786993
33,30,100,control,0.03543963925925668
36,10,100,control,0.02972937744566202
36,30,100,control,-0.00347991602188906
39,10,100,control,0.01041468413573795
39,30,100,control,0.03368093830134253
42,10,100,control,-0.02851002429274944
42,30,100,control,0.01293531510887049
45,10,100,control,0.0250560312185365
45,30,100,control,0.00972633588518337
48,10,100,control,-0.02817144277307417
48,30,100,control,0.01318606461658475
0,10,101,control,-0.06310753242734234
0,30,101,control,-0.01862281035718383
3,10,101,control,0.03019368825794739
3,30,101,control,0.0447101075517199
6,10,101,control,0.02826362683309239
6,30,101,control,0.03248727917809026
9,10,101,control,0.07682161686136607
9,30,101,control,0.05631551273375592
12,10,101,control,0.01620702054608556
12,30,101,control,0.04303782566106711
15,10,101,control,0.08372190083477933
15,30,101,control,0.02474806881849909
18,10,101,control,0.1122362998925006
18,30,101,control,0.06808150132295554
21,10,101,control,0.05901229203184126
21,30,101,control,0.05036711769984292
24,10,101,control,0.05342987952755196
24,30,101,control,0.03176525771908266
27,10,101,control,0.08245238479966212
27,30,101,control,-0.01415968020584416
30,10,101,control,0.057309883923927
30,30,101,control,0.09055931997290118
33,10,101,control,0.06231471090179041
